model,split,horizon_min,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
gbm_n300,test,30,89.05560458958517,7.747131509267431,3.1972639011473962,40360.0,3511.0,1449.0,45320
gbm_n300,test,60,79.17255075022065,12.601500441306266,8.225948808473081,35881.0,5711.0,3728.0,45320
gbm_n300,test,90,76.95278022947926,13.375992939099735,9.671226831421006,34875.0,6062.0,4383.0,45320
gbm_n300,val,30,89.94857306817931,7.4668373540512505,2.5845895777694397,40753.0,3383.0,1171.0,45307
gbm_n300,val,60,80.21939214690886,12.496965148873242,7.2836427042178915,36345.0,5662.0,3300.0,45307
gbm_n300,val,90,78.19983666983028,12.975919835786964,8.824243494382767,35430.0,5879.0,3998.0,45307
gru_c2_zw,test,30,83.59002647837599,12.93909973521624,3.470873786407767,37883.0,5864.0,1573.0,45320
gru_c2_zw,test,60,77.69858781994704,16.273168578993822,6.028243601059135,35213.0,7375.0,2732.0,45320
gru_c2_zw,test,90,75.2405119152692,17.16460723742277,7.594880847308032,34099.0,7779.0,3442.0,45320
gru_c2_zw,val,30,83.58090361312821,12.792725185953605,3.6263712009181805,37868.0,5796.0,1643.0,45307
gru_c2_zw,val,60,77.46926523495266,16.207208599112718,6.323526165934624,35099.0,7343.0,2865.0,45307
gru_c2_zw,val,90,74.59995144238198,17.650694153221355,7.749354404396672,33799.0,7997.0,3511.0,45307
gru_c2_zwh30,test,30,83.98940864960282,12.49117387466902,3.5194174757281553,38064.0,5661.0,1595.0,45320
gru_c2_zwh30,test,60,77.37864077669903,16.050308914386584,6.571050308914387,35068.0,7274.0,2978.0,45320
gru_c2_zwh30,test,90,74.60061782877317,17.29920564872021,8.10017652250662,33809.0,7840.0,3671.0,45320
gru_c2_zwh30,val,30,83.6736045202728,12.485929326594125,3.84046615313307,37910.0,5657.0,1740.0,45307
gru_c2_zwh30,val,60,76.47162690092038,16.370538768843666,7.1578343302359455,34647.0,7417.0,3243.0,45307
gru_c2_zwh30,val,90,73.33303904473922,18.262078707484495,8.404882247776282,33225.0,8274.0,3808.0,45307
gru_c2_zwh30a,test,30,83.87246248896734,13.064872021182701,3.0626654898499557,38011.0,5921.0,1388.0,45320
gru_c2_zwh30a,test,60,78.02956751985879,16.434245366284202,5.536187113857017,35363.0,7448.0,2509.0,45320
gru_c2_zwh30a,test,90,76.01279788172992,16.802736098852602,7.184466019417476,34449.0,7615.0,3256.0,45320
gru_c2_zwh30a,val,30,84.20994548303794,12.750789061292958,3.039265455669102,38153.0,5777.0,1377.0,45307
gru_c2_zwh30a,val,60,78.18659368309532,16.125543514247248,5.687862802657426,35424.0,7306.0,2577.0,45307
gru_c2_zwh30a,val,90,75.30624406824552,17.209261262056636,7.484494669697839,34119.0,7797.0,3391.0,45307
persistence,test,30,91.76743159752868,5.7325684024713155,2.5,41589.0,2598.0,1133.0,45320
persistence,test,60,85.39717563989409,9.45278022947926,5.150044130626655,38702.0,4284.0,2334.0,45320
persistence,test,90,81.88658428949691,11.654898499558694,6.458517210944396,37111.0,5282.0,2927.0,45320
persistence,val,30,92.44487606771581,5.484803672721655,2.07032025956254,41884.0,2485.0,938.0,45307
persistence,val,60,86.14562871079524,9.455492528748318,4.398878760456442,39030.0,4284.0,1993.0,45307
persistence,val,90,82.32281987330876,11.746529233893217,5.930650892798022,37298.0,5322.0,2687.0,45307
rf_n300,test,30,87.2639011473963,8.10017652250662,4.635922330097087,39548.0,3671.0,2101.0,45320
rf_n300,test,60,78.13989408649603,13.217122683142101,8.642983230361871,35413.0,5990.0,3917.0,45320
rf_n300,test,90,75.60017652250662,14.406443071491616,9.993380406001766,34262.0,6529.0,4529.0,45320
rf_n300,val,30,88.72580395965304,7.892820094025206,3.3813759463217603,40199.0,3576.0,1532.0,45307
rf_n300,val,60,79.04959498532236,13.256229721676561,7.694175293001082,35815.0,6006.0,3486.0,45307
rf_n300,val,90,76.54225616350675,14.450305692277132,9.007438144216126,34679.0,6547.0,4081.0,45307
ridge_a0.1,test,30,87.10503089143866,9.902912621359222,2.9920564872021185,39476.0,4488.0,1356.0,45320
ridge_a0.1,test,60,79.2828773168579,14.558693733451015,6.158428949691086,35931.0,6598.0,2791.0,45320
ridge_a0.1,test,90,76.19152691968226,15.392762577228597,8.415710503089144,34530.0,6976.0,3814.0,45320
ridge_a0.1,val,30,86.72390579822103,9.813053170591742,3.4630410311872337,39292.0,4446.0,1569.0,45307
ridge_a0.1,val,60,78.51546118701305,14.686472289050258,6.798066523936699,35573.0,6654.0,3080.0,45307
ridge_a0.1,val,90,74.99061955106275,15.798883174785352,9.210497274151898,33976.0,7158.0,4173.0,45307
step6_hybrid,test,30,86.11871138570167,10.995145631067961,2.886142983230362,39029.0,4983.0,1308.0,45320
step6_hybrid,test,60,77.65887025595764,16.078993821712267,6.262135922330097,35195.0,7287.0,2838.0,45320
step6_hybrid,test,90,74.32480141218005,17.42939099735216,8.245807590467784,33684.0,7899.0,3737.0,45320
step6_hybrid,val,30,86.77467058070496,10.962985852075839,2.2623435672191934,39315.0,4967.0,1025.0,45307
step6_hybrid,val,60,78.77811375725605,15.893791246385769,5.328094996358178,35692.0,7201.0,2414.0,45307
step6_hybrid,val,90,75.13849956960293,17.778709691659124,7.082790738737943,34043.0,8055.0,3209.0,45307
