participant_id,acf_threshold,first_lag_below_threshold_minutes,acf_at_120m,acf_at_180m
HUPA0001P,0.5,95,0.4032483997070339,0.24434703661160348
HUPA0002P,0.5,140,0.5753081753035458,0.36052141432743756
HUPA0003P,0.5,125,0.5176027838892261,0.30010916418146366
HUPA0004P,0.5,125,0.5197453360247352,0.29195998181077737
HUPA0005P,0.5,125,0.5094668372615502,0.29627986424398856
HUPA0006P,0.5,150,0.600577688042682,0.3615903068234622
HUPA0007P,0.5,100,0.3835498687265287,0.1617584422812484
HUPA0009P,0.5,260,0.8015030287812627,0.6624813621818071
HUPA0010P,0.5,110,0.4243702262580457,0.17805172140723105
HUPA0011P,0.5,95,0.3557621566550166,0.1398358753932746
HUPA0014P,0.5,140,0.5761935244216713,0.34875296902532477
HUPA0015P,0.5,105,0.3953955056171667,0.16966021876476517
HUPA0016P,0.5,175,0.6669126252474523,0.4829183663115532
HUPA0017P,0.5,150,0.5932980294928288,0.4051169248252315
HUPA0018P,0.5,130,0.5251930336787666,0.29786210163036225
HUPA0019P,0.5,75,0.20797604926369148,0.025193761894778722
HUPA0020P,0.5,160,0.6196876283570968,0.4182330342108423
HUPA0021P,0.5,75,0.26084812514015077,0.1306518332160971
HUPA0022P,0.5,170,0.6406872335301248,0.47107927558231705
HUPA0023P,0.5,100,0.39758391445020363,0.20472187434840197
HUPA0024P,0.5,130,0.5356651394191382,0.2950769224629741
HUPA0025P,0.5,120,0.4897777518229432,0.272650886518169
HUPA0026P,0.5,160,0.6069957349562666,0.44720117974611984
HUPA0027P,0.5,140,0.5563593550723097,0.37125224522303035
HUPA0028P,0.5,85,0.3446542218385655,0.23838183056908344
