event_type,threshold,horizon_steps,horizon_minutes,n_events,mean_delta_event,std_delta_event,median_delta_event,n_control,mean_delta_control,std_delta_control,mean_delta_diff
bolus_volume_delivered,0.0,6,30,3586,4.170031894146473,29.752992369234338,1.6511156186612794,3590,0.16257911801448638,20.31733776420876,4.007452776131987
bolus_volume_delivered,0.0,12,60,3585,-0.5955234310913623,49.22252968998292,-2.0,3588,0.22516478974295287,33.64376751339794,-0.8206882208343151
bolus_volume_delivered,0.0,18,90,3582,-8.46850009930828,59.34706546859138,-10.0,3587,0.7711036776137887,42.7610903937756,-9.239603776922069
bolus_volume_delivered,0.0,24,120,3579,-14.04611451853614,63.503095916884966,-15.0,3585,1.4451657321123148,49.942665370904834,-15.491280250648455
carb_input,0.0,6,30,2641,8.473234147683428,28.955917045257607,5.793103448275872,2646,0.24931786593433344,20.938221205536802,8.223916281749094
carb_input,0.0,12,60,2641,15.42001865522693,42.59301008528206,14.0,2645,0.6425495369991157,34.034955310964335,14.777469118227813
carb_input,0.0,18,90,2637,14.700483712177501,50.212381595225104,15.0,2644,-0.026627521825323047,44.13973571659148,14.727111234002825
carb_input,0.0,24,120,2634,14.032733335853234,55.08893681307856,14.0,2641,-1.0224649950407567,50.612282688691764,15.05519833089399
steps,99.0,6,30,29870,-3.0634644482071556,26.485623963699968,-2.666666666666657,29858,0.3106899982712302,21.079219603165985,-3.3741544464783857
steps,99.0,12,60,29841,-2.172255772152236,43.83143605097609,-1.0,29842,0.3999948427206039,35.27937512249031,-2.57225061487284
steps,99.0,18,90,29818,-2.874874839108408,55.752926977522776,-1.0,29823,0.7297728113925397,45.58108725520008,-3.6046476505009473
steps,99.0,24,120,29801,-3.969096253478183,64.02136212450928,-1.3333333333333286,29805,0.8359128288716118,53.42164845376648,-4.805009082349795
