kind,feature_short,spearman_r,spearman_abs,mutual_information,permutation_importance,rank_spearman,rank_mi,rank_perm,rank_composite
dynamic,glucose,0.6933872537064463,0.6933872537064463,0.3847105331191747,1.0688114229472052,1.0,1.0,1.0,1.0
static,subject_mean_glucose,0.3581860987645231,0.3581860987645231,0.17111273272478922,0.14296328067506703,5.0,9.0,3.0,5.666666666666667
dynamic,glucose_30m_mean,0.6396689675031477,0.6396689675031477,0.323101076154912,0.0060258257839951755,2.0,2.0,15.0,6.333333333333333
dynamic,glucose_120m_mean,0.4884116141222462,0.4884116141222462,0.18736084571300626,0.006643265031241174,4.0,4.0,12.0,6.666666666666667
static,subject_hyper_pct,0.3477428763731431,0.3477428763731431,0.166842542528169,0.057711659622615194,6.0,12.0,4.0,7.333333333333333
dynamic,glucose_60m_mean,0.5830661164344467,0.5830661164344467,0.2500211619768482,0.003618617579496175,3.0,3.0,17.0,7.666666666666667
dynamic,glucose_velocity,0.2838500046815259,0.2838500046815259,0.12815735252875804,0.19079251047610013,7.0,16.0,2.0,8.333333333333334
static,subject_std_glucose,0.2043646085067185,0.2043646085067185,0.1704233673183828,0.02183888365720237,9.0,10.0,6.0,8.333333333333334
static,subject_hypo_pct,-0.15971191171451463,0.15971191171451463,0.16391591974164266,0.036177780950623385,11.0,13.0,5.0,9.666666666666666
static,steps_active_pct,0.16106989886440218,0.16106989886440218,0.17484224553632544,0.0018765526592670278,10.0,5.0,24.0,13.0
static,bolus_events_per_day,-0.1271515101701733,0.1271515101701733,0.1693661712321335,0.002839215085998048,13.0,11.0,20.0,14.666666666666666
static,mean_heart_rate,0.1447094627516474,0.1447094627516474,0.17132630543193006,0.0016674144922372625,12.0,8.0,25.0,15.0
static,bmi,0.06585903954657761,0.06585903954657761,0.1723324601231817,0.002084364000799388,19.0,6.0,21.0,15.333333333333334
static,hba1c_pct,0.2235303011486802,0.2235303011486802,0.15648213030111346,0.001534713370670393,8.0,14.0,26.0,16.0
dynamic,glucose_60m_std,0.09288624697468194,0.09288624697468194,0.04839777738413442,0.006462777364594041,16.0,20.0,13.0,16.333333333333332
static,dx_time_years,0.05814371233136589,0.05814371233136589,0.17184953196706143,0.002050654419366538,23.0,7.0,22.0,17.333333333333332
dynamic,basal_coverage_24h,-0.06332944910338338,0.06332944910338338,0.05714253302453143,0.0029497907106284414,21.0,18.0,19.0,19.333333333333332
dynamic,heart_rate_30m_mean,0.06307809718730507,0.06307809718730507,0.04420144579837082,0.005279434177251252,22.0,21.0,16.0,19.666666666666668
dynamic,steps_150m_sum,0.002983931850127093,0.002983931850127093,0.051748075840730934,0.010958803729423972,33.0,19.0,8.0,20.0
static,age_years,0.057292773801177456,0.057292773801177456,0.14682983225008206,0.0019364923799002564,24.0,15.0,23.0,20.666666666666668
dynamic,basal_rate,-0.021958031525805936,0.021958031525805936,0.12062356538951935,0.003143183427308438,28.0,17.0,18.0,21.0
dynamic,hour_cos,-0.00775645796351342,0.00775645796351342,0.01838974285359818,0.015744473329588525,30.0,26.0,7.0,21.0
dynamic,hour_sin,-0.004984491155483263,0.004984491155483263,0.022744706223510214,0.00898463462908008,31.0,24.0,9.0,21.333333333333332
dynamic,carbs_on_board,-0.003581645550371165,0.003581645550371165,0.02415353631129502,0.00674655981476906,32.0,23.0,11.0,22.0
dynamic,heart_rate,0.017209370629417537,0.017209370629417537,0.01779265291782295,0.008135911814293984,29.0,28.0,10.0,22.333333333333332
dynamic,insulin_on_board,-0.03661942352028727,0.03661942352028727,0.01811857573361486,0.006291020953827475,27.0,27.0,14.0,22.666666666666668
dynamic,glucose_low_cap,-0.12229919236883893,0.12229919236883893,0.019870264480106314,0.0001379313693386175,14.0,25.0,30.0,23.0
dynamic,bolus_60m_sum,0.06524090054721224,0.06524090054721224,0.04071534849809355,0.001058438358518332,20.0,22.0,27.0,23.0
static,gender_Female,0.10808738393756218,0.10808738393756218,0.015164319560325712,0.00020488169938936984,15.0,29.0,29.0,24.333333333333332
static,basal_available,-0.08302511536973745,0.08302511536973745,0.0014612045118780337,5.1339274761685874e-05,17.0,32.0,31.0,26.666666666666668
static,carb_available,-0.07005078059171735,0.07005078059171735,0.0,3.159998051491808e-05,18.0,33.0,32.0,27.666666666666668
static,treatment_CSII,-0.04147055227586645,0.04147055227586645,0.014387394274793408,0.0004843907672268388,26.0,30.0,28.0,28.0
static,bolus_available,-0.045491388047924665,0.045491388047924665,0.009562633797652431,1.8462205505342944e-05,25.0,31.0,33.0,29.666666666666668
