model,split,horizon_min,zone,n_samples,pct,total
main_hybrid_static_dynamic,val,30,A,37963,83.65210876558989,45382
main_hybrid_static_dynamic,val,30,B,5063,11.156405623374907,45382
main_hybrid_static_dynamic,val,30,C,4,0.008814067251333128,45382
main_hybrid_static_dynamic,val,30,D,2352,5.182671543783879,45382
main_hybrid_static_dynamic,val,30,E,0,0.0,45382
main_hybrid_static_dynamic,val,60,A,32275,71.11850513419418,45382
main_hybrid_static_dynamic,val,60,B,10374,22.859283416332467,45382
main_hybrid_static_dynamic,val,60,C,33,0.0727160548234983,45382
main_hybrid_static_dynamic,val,60,D,2692,5.931867260147195,45382
main_hybrid_static_dynamic,val,60,E,8,0.017628134502666256,45382
main_hybrid_static_dynamic,val,90,A,27580,60.772993697941914,45382
main_hybrid_static_dynamic,val,90,B,14633,32.24406152218941,45382
main_hybrid_static_dynamic,val,90,C,128,0.2820501520426601,45382
main_hybrid_static_dynamic,val,90,D,3003,6.617160988938346,45382
main_hybrid_static_dynamic,val,90,E,38,0.08373363888766472,45382
main_hybrid_static_dynamic,test,30,A,37546,82.70954950985791,45395
main_hybrid_static_dynamic,test,30,B,5988,13.19088005286926,45395
main_hybrid_static_dynamic,test,30,C,5,0.011014428901861438,45395
main_hybrid_static_dynamic,test,30,D,1856,4.088556008370966,45395
main_hybrid_static_dynamic,test,30,E,0,0.0,45395
main_hybrid_static_dynamic,test,60,A,32705,72.04537944707567,45395
main_hybrid_static_dynamic,test,60,B,10337,22.771230311708337,45395
main_hybrid_static_dynamic,test,60,C,45,0.09912986011675294,45395
main_hybrid_static_dynamic,test,60,D,2297,5.060028637515145,45395
main_hybrid_static_dynamic,test,60,E,11,0.024231743584095165,45395
main_hybrid_static_dynamic,test,90,A,28833,63.51580570547417,45395
main_hybrid_static_dynamic,test,90,B,13661,30.09362264566582,45395
main_hybrid_static_dynamic,test,90,C,130,0.2863751514483974,45395
main_hybrid_static_dynamic,test,90,D,2710,5.969820464808899,45395
main_hybrid_static_dynamic,test,90,E,61,0.13437603260270956,45395
