model,split,horizon_min,zone,n_samples,metric,value
main_hybrid_static_dynamic,val,30,hypo,3669,mae,18.996694564819336
main_hybrid_static_dynamic,val,30,hypo,3669,rmse,22.388980865478516
main_hybrid_static_dynamic,val,30,tir,32039,mae,12.561473846435547
main_hybrid_static_dynamic,val,30,tir,32039,rmse,16.722373962402344
main_hybrid_static_dynamic,val,30,hyper,9674,mae,19.685251235961914
main_hybrid_static_dynamic,val,30,hyper,9674,rmse,26.604833602905273
main_hybrid_static_dynamic,val,60,hypo,3664,mae,23.708393096923828
main_hybrid_static_dynamic,val,60,hypo,3664,rmse,29.278573989868164
main_hybrid_static_dynamic,val,60,tir,32044,mae,17.74261474609375
main_hybrid_static_dynamic,val,60,tir,32044,rmse,24.053081512451172
main_hybrid_static_dynamic,val,60,hyper,9674,mae,30.46562385559082
main_hybrid_static_dynamic,val,60,hyper,9674,rmse,40.48677062988281
main_hybrid_static_dynamic,val,90,hypo,3663,mae,29.21270751953125
main_hybrid_static_dynamic,val,90,hypo,3663,rmse,37.376197814941406
main_hybrid_static_dynamic,val,90,tir,32048,mae,22.47307777404785
main_hybrid_static_dynamic,val,90,tir,32048,rmse,30.2022705078125
main_hybrid_static_dynamic,val,90,hyper,9671,mae,42.23024368286133
main_hybrid_static_dynamic,val,90,hyper,9671,rmse,54.36197280883789
main_hybrid_static_dynamic,test,30,hypo,3631,mae,17.682809829711914
main_hybrid_static_dynamic,test,30,hypo,3631,rmse,21.401519775390625
main_hybrid_static_dynamic,test,30,tir,32470,mae,13.48069953918457
main_hybrid_static_dynamic,test,30,tir,32470,rmse,17.92890739440918
main_hybrid_static_dynamic,test,30,hyper,9294,mae,19.649818420410156
main_hybrid_static_dynamic,test,30,hyper,9294,rmse,26.421968460083008
main_hybrid_static_dynamic,test,60,hypo,3629,mae,22.989261627197266
main_hybrid_static_dynamic,test,60,hypo,3629,rmse,29.58185386657715
main_hybrid_static_dynamic,test,60,tir,32479,mae,17.965700149536133
main_hybrid_static_dynamic,test,60,tir,32479,rmse,24.755931854248047
main_hybrid_static_dynamic,test,60,hyper,9287,mae,29.768171310424805
main_hybrid_static_dynamic,test,60,hyper,9287,rmse,39.31957244873047
main_hybrid_static_dynamic,test,90,hypo,3625,mae,29.573974609375
main_hybrid_static_dynamic,test,90,hypo,3625,rmse,39.12040710449219
main_hybrid_static_dynamic,test,90,tir,32493,mae,21.96139144897461
main_hybrid_static_dynamic,test,90,tir,32493,rmse,30.145944595336914
main_hybrid_static_dynamic,test,90,hyper,9277,mae,41.06844711303711
main_hybrid_static_dynamic,test,90,hyper,9277,rmse,52.376155853271484
