model,split,horizon_min,zone,n_samples,pct,total
persistence,val,30,A,39096,86.14869331453,45382
persistence,val,30,B,5687,12.531400114582874,45382
persistence,val,30,C,10,0.02203516812833282,45382
persistence,val,30,D,579,1.2758362346304701,45382
persistence,val,30,E,10,0.02203516812833282,45382
persistence,val,60,A,30998,68.30461416420607,45382
persistence,val,60,B,12814,28.235864439645674,45382
persistence,val,60,C,176,0.3878189590586576,45382
persistence,val,60,D,1298,2.8601648230576,45382
persistence,val,60,E,96,0.21153761403199506,45382
persistence,val,90,A,25945,57.1702437089595,45382
persistence,val,90,B,16779,36.97280860252964,45382
persistence,val,90,C,493,1.086333788726808,45382
persistence,val,90,D,1900,4.186681944383236,45382
persistence,val,90,E,265,0.5839319554008197,45382
persistence,test,30,A,38791,85.45214230642141,45395
persistence,test,30,B,5853,12.893490472519,45395
persistence,test,30,C,7,0.015420200462606014,45395
persistence,test,30,D,743,1.6367441348166099,45395
persistence,test,30,E,1,0.0022028857803722875,45395
persistence,test,60,A,31518,69.43055402577376,45395
persistence,test,60,B,12094,26.64170062782245,45395
persistence,test,60,C,173,0.38109924000440576,45395
persistence,test,60,D,1536,3.383632558651834,45395
persistence,test,60,E,74,0.16301354774754928,45395
persistence,test,90,A,26965,59.40081506773874,45395
persistence,test,90,B,15683,34.547857693578585,45395
persistence,test,90,C,429,0.9450379997797114,45395
persistence,test,90,D,2090,4.604031280978082,45395
persistence,test,90,E,228,0.5022579579248816,45395
ridge_a0.1,val,30,A,39129,86.2214093693535,45382
ridge_a0.1,val,30,B,5274,11.621347670882729,45382
ridge_a0.1,val,30,C,26,0.05729143713366533,45382
ridge_a0.1,val,30,D,945,2.082323388127451,45382
ridge_a0.1,val,30,E,8,0.017628134502666256,45382
ridge_a0.1,val,60,A,31841,70.16217883742453,45382
ridge_a0.1,val,60,B,11398,25.115684632673748,45382
ridge_a0.1,val,60,C,96,0.21153761403199506,45382
ridge_a0.1,val,60,D,2028,4.468732096425896,45382
ridge_a0.1,val,60,E,19,0.04186681944383236,45382
ridge_a0.1,val,90,A,26260,57.864351505001984,45382
ridge_a0.1,val,90,B,15518,34.19417390154687,45382
ridge_a0.1,val,90,C,165,0.3635802741174915,45382
ridge_a0.1,val,90,D,3361,7.406020007932661,45382
ridge_a0.1,val,90,E,78,0.171874311400996,45382
ridge_a0.1,test,30,A,39082,86.09318206850975,45395
ridge_a0.1,test,30,B,5666,12.481550831589383,45395
ridge_a0.1,test,30,C,21,0.04626060138781804,45395
ridge_a0.1,test,30,D,625,1.3768036127326797,45395
ridge_a0.1,test,30,E,1,0.0022028857803722875,45395
ridge_a0.1,test,60,A,32596,71.80526489701509,45395
ridge_a0.1,test,60,B,11078,24.403568674964202,45395
ridge_a0.1,test,60,C,75,0.16521643352792156,45395
ridge_a0.1,test,60,D,1615,3.5576605353012445,45395
ridge_a0.1,test,60,E,31,0.06828945919154092,45395
ridge_a0.1,test,90,A,27373,60.29959246613063,45395
ridge_a0.1,test,90,B,14912,32.849432756911554,45395
ridge_a0.1,test,90,C,157,0.3458530675184492,45395
ridge_a0.1,test,90,D,2876,6.335499504350699,45395
ridge_a0.1,test,90,E,77,0.16962220508866616,45395
