model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
persistence,val,30,mae,15.69302438735962,5.2306922191520036,25
persistence,val,30,rmse,21.920633697509764,6.791092437646393,25
persistence,val,60,mae,27.083676357269287,9.245758832299403,25
persistence,val,60,rmse,36.75560871124267,11.826894305514267,25
persistence,val,90,mae,35.4907022857666,12.039722029600291,25
persistence,val,90,rmse,47.37890804290772,15.312340394484444,25
persistence,test,30,mae,15.791666145324706,4.769770643255741,25
persistence,test,30,rmse,22.11674493789673,6.246329412063068,25
persistence,test,60,mae,27.36216751098633,8.275294753444086,25
persistence,test,60,rmse,37.47361576080322,10.819868052636478,25
persistence,test,90,mae,36.12186882019043,10.495946268481156,25
persistence,test,90,rmse,48.55685676574707,13.593785512923398,25
ridge_a0.1,val,30,mae,16.48612121582031,4.894866884804459,25
ridge_a0.1,val,30,rmse,21.733613967895508,5.9704498660985905,25
ridge_a0.1,val,60,mae,26.474464187622072,8.035990547217178,25
ridge_a0.1,val,60,rmse,34.14427452087402,9.686638773966285,25
ridge_a0.1,val,90,mae,34.07529876708984,10.354892607343027,25
ridge_a0.1,val,90,rmse,43.022080154418944,12.557365421251632,25
ridge_a0.1,test,30,mae,17.099500274658205,6.168088630551849,25
ridge_a0.1,test,30,rmse,22.18745811462402,6.469980085751033,25
ridge_a0.1,test,60,mae,26.900370330810546,7.494785855584672,25
ridge_a0.1,test,60,rmse,34.935930709838864,8.294469336937832,25
ridge_a0.1,test,90,mae,34.60894012451172,10.069731376497282,25
ridge_a0.1,test,90,rmse,44.21234710693359,11.519947117299411,25
