model,split,horizon_min,metric,value,n_samples
persistence,val,30,mae,13.747065544128418,45382
persistence,val,30,rmse,20.172019958496094,45382
persistence,val,60,mae,23.599634170532227,45382
persistence,val,60,rmse,33.90452194213867,45382
persistence,val,90,mae,31.09224510192871,45382
persistence,val,90,rmse,43.91647720336914,45382
persistence,test,30,mae,13.523813247680664,45395
persistence,test,30,rmse,19.700883865356445,45395
persistence,test,60,mae,22.918500900268555,45395
persistence,test,60,rmse,32.91321563720703,45395
persistence,test,90,mae,29.85362434387207,45395
persistence,test,90,rmse,42.12724685668945,45395
ridge_a0.1,val,30,mae,14.468337059020996,45382
ridge_a0.1,val,30,rmse,20.152753829956055,45382
ridge_a0.1,val,60,mae,22.002389907836914,45382
ridge_a0.1,val,60,rmse,30.70975112915039,45382
ridge_a0.1,val,90,mae,28.57352066040039,45382
ridge_a0.1,val,90,rmse,38.585994720458984,45382
ridge_a0.1,test,30,mae,14.252734184265137,45395
ridge_a0.1,test,30,rmse,19.866924285888672,45395
ridge_a0.1,test,60,mae,21.593137741088867,45395
ridge_a0.1,test,60,rmse,30.20011329650879,45395
ridge_a0.1,test,90,mae,27.849328994750977,45395
ridge_a0.1,test,90,rmse,37.85679626464844,45395
