model,split,horizon_min,zone,n_samples,metric,value
persistence,val,30,hypo,3669,mae,7.105764865875244
persistence,val,30,hypo,3669,rmse,12.631264686584473
persistence,val,30,tir,32039,mae,12.991841316223145
persistence,val,30,tir,32039,rmse,18.567298889160156
persistence,val,30,hyper,9674,mae,18.767074584960938
persistence,val,30,hyper,9674,rmse,26.582151412963867
persistence,val,60,hypo,3664,mae,14.4655179977417
persistence,val,60,hypo,3664,rmse,25.525495529174805
persistence,val,60,tir,32044,mae,21.549236297607422
persistence,val,60,tir,32044,rmse,29.966989517211914
persistence,val,60,hyper,9674,mae,33.850860595703125
persistence,val,60,hyper,9674,rmse,46.595829010009766
persistence,val,90,hypo,3663,mae,21.761802673339844
persistence,val,90,hypo,3663,rmse,37.31830596923828
persistence,val,90,tir,32048,mae,27.71807861328125
persistence,val,90,tir,32048,rmse,38.025611877441406
persistence,val,90,hyper,9671,mae,45.80765151977539
persistence,val,90,hyper,9671,rmse,61.08427047729492
persistence,test,30,hypo,3631,mae,9.061419486999512
persistence,test,30,hypo,3631,rmse,14.549964904785156
persistence,test,30,tir,32470,mae,12.822126388549805
persistence,test,30,tir,32470,rmse,18.504064559936523
persistence,test,30,hyper,9294,mae,17.718643188476562
persistence,test,30,hyper,9294,rmse,24.835369110107422
persistence,test,60,hypo,3629,mae,18.343202590942383
persistence,test,60,hypo,3629,rmse,29.626604080200195
persistence,test,60,tir,32479,mae,21.006196975708008
persistence,test,60,tir,32479,rmse,29.83672332763672
persistence,test,60,hyper,9287,mae,31.39417266845703
persistence,test,60,hyper,9287,rmse,42.88056564331055
persistence,test,90,hypo,3625,mae,27.261030197143555
persistence,test,90,hypo,3625,rmse,42.18634796142578
persistence,test,90,tir,32493,mae,26.719566345214844
persistence,test,90,tir,32493,rmse,37.392242431640625
persistence,test,90,hyper,9277,mae,41.843833923339844
persistence,test,90,hyper,9277,rmse,55.601707458496094
ridge_a0.1,val,30,hypo,3669,mae,14.808940887451172
ridge_a0.1,val,30,hypo,3669,rmse,17.89282989501953
ridge_a0.1,val,30,tir,32039,mae,12.773721694946289
ridge_a0.1,val,30,tir,32039,rmse,18.013704299926758
ridge_a0.1,val,30,hyper,9674,mae,19.951496124267578
ridge_a0.1,val,30,hyper,9674,rmse,26.629364013671875
ridge_a0.1,val,60,hypo,3664,mae,21.150623321533203
ridge_a0.1,val,60,hypo,3664,rmse,28.43376922607422
ridge_a0.1,val,60,tir,32044,mae,19.77432632446289
ridge_a0.1,val,60,tir,32044,rmse,27.443517684936523
ridge_a0.1,val,60,hyper,9674,mae,29.705198287963867
ridge_a0.1,val,60,hyper,9674,rmse,40.28936767578125
ridge_a0.1,val,90,hypo,3663,mae,34.77877426147461
ridge_a0.1,val,90,hypo,3663,rmse,42.524253845214844
ridge_a0.1,val,90,tir,32048,mae,24.289413452148438
ridge_a0.1,val,90,tir,32048,rmse,32.484466552734375
ridge_a0.1,val,90,hyper,9671,mae,40.419986724853516
ridge_a0.1,val,90,hyper,9671,rmse,52.96123504638672
ridge_a0.1,test,30,hypo,3631,mae,15.663623809814453
ridge_a0.1,test,30,hypo,3631,rmse,19.203351974487305
ridge_a0.1,test,30,tir,32470,mae,12.816326141357422
ridge_a0.1,test,30,tir,32470,rmse,18.269304275512695
ridge_a0.1,test,30,hyper,9294,mae,18.719839096069336
ridge_a0.1,test,30,hyper,9294,rmse,24.85320281982422
ridge_a0.1,test,60,hypo,3629,mae,20.938064575195312
ridge_a0.1,test,60,hypo,3629,rmse,29.94668197631836
ridge_a0.1,test,60,tir,32479,mae,19.60717010498047
ridge_a0.1,test,60,tir,32479,rmse,27.33057975769043
ridge_a0.1,test,60,hyper,9287,mae,28.794557571411133
ridge_a0.1,test,60,hyper,9287,rmse,38.66977310180664
ridge_a0.1,test,90,hypo,3625,mae,34.27433776855469
ridge_a0.1,test,90,hypo,3625,rmse,44.240440368652344
ridge_a0.1,test,90,tir,32493,mae,23.54021453857422
ridge_a0.1,test,90,tir,32493,rmse,31.930246353149414
ridge_a0.1,test,90,hyper,9277,mae,40.43155288696289
ridge_a0.1,test,90,hyper,9277,rmse,51.7396125793457
