model,split,horizon_min,mae,rmse,mae_pat_avg,rmse_pat_avg,clarke_pct_A,clarke_pct_B,clarke_pct_C,clarke_pct_D,clarke_pct_E
persistence,val,30,13.747065544128418,20.172019958496094,15.69302438735962,21.920633697509764,86.14869331453,12.531400114582874,0.02203516812833282,1.2758362346304701,0.02203516812833282
persistence,val,60,23.599634170532227,33.90452194213867,27.083676357269287,36.75560871124267,68.30461416420607,28.235864439645674,0.3878189590586576,2.8601648230576,0.21153761403199506
persistence,val,90,31.09224510192871,43.91647720336914,35.4907022857666,47.37890804290772,57.1702437089595,36.97280860252964,1.086333788726808,4.186681944383236,0.5839319554008197
persistence,test,30,13.523813247680664,19.700883865356445,15.791666145324706,22.11674493789673,85.45214230642141,12.893490472519,0.015420200462606014,1.6367441348166099,0.0022028857803722875
persistence,test,60,22.918500900268555,32.91321563720703,27.36216751098633,37.47361576080322,69.43055402577376,26.64170062782245,0.38109924000440576,3.383632558651834,0.16301354774754928
persistence,test,90,29.85362434387207,42.12724685668945,36.12186882019043,48.55685676574707,59.40081506773874,34.547857693578585,0.9450379997797114,4.604031280978082,0.5022579579248816
ridge_a0.1,val,30,14.468337059020996,20.152753829956055,16.48612121582031,21.733613967895508,86.2214093693535,11.621347670882729,0.05729143713366533,2.082323388127451,0.017628134502666256
ridge_a0.1,val,60,22.002389907836914,30.70975112915039,26.474464187622072,34.14427452087402,70.16217883742453,25.115684632673748,0.21153761403199506,4.468732096425896,0.04186681944383236
ridge_a0.1,val,90,28.57352066040039,38.585994720458984,34.07529876708984,43.022080154418944,57.864351505001984,34.19417390154687,0.3635802741174915,7.406020007932661,0.171874311400996
ridge_a0.1,test,30,14.252734184265137,19.866924285888672,17.099500274658205,22.18745811462402,86.09318206850975,12.481550831589383,0.04626060138781804,1.3768036127326797,0.0022028857803722875
ridge_a0.1,test,60,21.593137741088867,30.20011329650879,26.900370330810546,34.935930709838864,71.80526489701509,24.403568674964202,0.16521643352792156,3.5576605353012445,0.06828945919154092
ridge_a0.1,test,90,27.849328994750977,37.85679626464844,34.60894012451172,44.21234710693359,60.29959246613063,32.849432756911554,0.3458530675184492,6.335499504350699,0.16962220508866616
