model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
gbm_lr0.05_d8,val,30,mae,11.861080923080443,3.5346194754431752,25
gbm_lr0.05_d8,val,30,rmse,16.43587345123291,4.576781004910585,25
gbm_lr0.05_d8,val,60,mae,22.840915908813475,6.766734394363067,25
gbm_lr0.05_d8,val,60,rmse,30.133578720092775,8.305480145312941,25
gbm_lr0.05_d8,val,90,mae,30.268202209472655,8.772149782742794,25
gbm_lr0.05_d8,val,90,rmse,39.05972717285156,10.938373345126568,25
gbm_lr0.05_d8,test,30,mae,12.10807092666626,2.991866184010749,25
gbm_lr0.05_d8,test,30,rmse,16.81551456451416,3.7042562615137835,25
gbm_lr0.05_d8,test,60,mae,23.584464111328124,6.121633836950672,25
gbm_lr0.05_d8,test,60,rmse,31.25434860229492,7.487302631788412,25
gbm_lr0.05_d8,test,90,mae,31.49169288635254,8.246422965275988,25
gbm_lr0.05_d8,test,90,rmse,41.00087829589844,9.916630200797634,25
gbm_lr0.05_d8_iter1000,val,30,mae,11.926092109680177,3.4567527303671457,25
gbm_lr0.05_d8_iter1000,val,30,rmse,16.45708600997925,4.427160976879305,25
gbm_lr0.05_d8_iter1000,val,60,mae,23.107921409606934,6.78361959321436,25
gbm_lr0.05_d8_iter1000,val,60,rmse,30.474386711120605,8.27765488259102,25
gbm_lr0.05_d8_iter1000,val,90,mae,30.503142738342284,8.899325046885552,25
gbm_lr0.05_d8_iter1000,val,90,rmse,39.53872169494629,11.11975286937679,25
gbm_lr0.05_d8_iter1000,test,30,mae,12.239491481781005,2.9727908659057554,25
gbm_lr0.05_d8_iter1000,test,30,rmse,16.969475860595704,3.618210381607983,25
gbm_lr0.05_d8_iter1000,test,60,mae,23.925564041137694,5.961702422016825,25
gbm_lr0.05_d8_iter1000,test,60,rmse,31.7028572845459,7.398380618902181,25
gbm_lr0.05_d8_iter1000,test,90,mae,32.058453674316404,8.260366372756494,25
gbm_lr0.05_d8_iter1000,test,90,rmse,41.692222595214844,10.014034095485371,25
