model,split,horizon_min,metric,value,n_samples
gbm_lr0.05_d8,val,30,mae,10.284224510192871,45382
gbm_lr0.05_d8,val,30,rmse,15.051069259643555,45382
gbm_lr0.05_d8,val,60,mae,19.655025482177734,45382
gbm_lr0.05_d8,val,60,rmse,27.27098846435547,45382
gbm_lr0.05_d8,val,90,mae,26.331331253051758,45382
gbm_lr0.05_d8,val,90,rmse,35.63737106323242,45382
gbm_lr0.05_d8,test,30,mae,10.400732040405273,45395
gbm_lr0.05_d8,test,30,rmse,15.029744148254395,45395
gbm_lr0.05_d8,test,60,mae,19.76938819885254,45395
gbm_lr0.05_d8,test,60,rmse,27.218576431274414,45395
gbm_lr0.05_d8,test,90,mae,26.268884658813477,45395
gbm_lr0.05_d8,test,90,rmse,35.35921859741211,45395
gbm_lr0.05_d8_iter1000,val,30,mae,10.383304595947266,45382
gbm_lr0.05_d8_iter1000,val,30,rmse,15.07546329498291,45382
gbm_lr0.05_d8_iter1000,val,60,mae,19.845693588256836,45382
gbm_lr0.05_d8_iter1000,val,60,rmse,27.429855346679688,45382
gbm_lr0.05_d8_iter1000,val,90,mae,26.414875030517578,45382
gbm_lr0.05_d8_iter1000,val,90,rmse,35.81499099731445,45382
gbm_lr0.05_d8_iter1000,test,30,mae,10.48664379119873,45395
gbm_lr0.05_d8_iter1000,test,30,rmse,15.070629119873047,45395
gbm_lr0.05_d8_iter1000,test,60,mae,20.06686782836914,45395
gbm_lr0.05_d8_iter1000,test,60,rmse,27.514982223510742,45395
gbm_lr0.05_d8_iter1000,test,90,mae,26.604570388793945,45395
gbm_lr0.05_d8_iter1000,test,90,rmse,35.7435188293457,45395
