model,split,horizon_min,zone,n_samples,metric,value
gbm_lr0.05_d8,val,30,hypo,3669,mae,9.112879753112793
gbm_lr0.05_d8,val,30,hypo,3669,rmse,13.031829833984375
gbm_lr0.05_d8,val,30,tir,32039,mae,9.372652053833008
gbm_lr0.05_d8,val,30,tir,32039,rmse,13.699226379394531
gbm_lr0.05_d8,val,30,hyper,9674,mae,13.747477531433105
gbm_lr0.05_d8,val,30,hyper,9674,rmse,19.410306930541992
gbm_lr0.05_d8,val,60,hypo,3664,mae,23.28360366821289
gbm_lr0.05_d8,val,60,hypo,3664,rmse,29.183441162109375
gbm_lr0.05_d8,val,60,tir,32044,mae,16.446428298950195
gbm_lr0.05_d8,val,60,tir,32044,rmse,22.62344741821289
gbm_lr0.05_d8,val,60,hyper,9674,mae,28.908817291259766
gbm_lr0.05_d8,val,60,hyper,9674,rmse,38.35247039794922
gbm_lr0.05_d8,val,90,hypo,3663,mae,34.999210357666016
gbm_lr0.05_d8,val,90,hypo,3663,rmse,41.30021286010742
gbm_lr0.05_d8,val,90,tir,32048,mae,20.85039710998535
gbm_lr0.05_d8,val,90,tir,32048,rmse,27.8256778717041
gbm_lr0.05_d8,val,90,hyper,9671,mae,41.21113204956055
gbm_lr0.05_d8,val,90,hyper,9671,rmse,52.41988754272461
gbm_lr0.05_d8,test,30,hypo,3631,mae,10.42029094696045
gbm_lr0.05_d8,test,30,hypo,3631,rmse,14.026416778564453
gbm_lr0.05_d8,test,30,tir,32470,mae,9.433228492736816
gbm_lr0.05_d8,test,30,tir,32470,rmse,13.701188087463379
gbm_lr0.05_d8,test,30,hyper,9294,mae,13.773211479187012
gbm_lr0.05_d8,test,30,hyper,9294,rmse,19.251953125
gbm_lr0.05_d8,test,60,hypo,3629,mae,26.7508602142334
gbm_lr0.05_d8,test,60,hypo,3629,rmse,31.955244064331055
gbm_lr0.05_d8,test,60,tir,32479,mae,16.420330047607422
gbm_lr0.05_d8,test,60,tir,32479,rmse,22.6018123626709
gbm_lr0.05_d8,test,60,hyper,9287,mae,28.753816604614258
gbm_lr0.05_d8,test,60,hyper,9287,rmse,37.890968322753906
gbm_lr0.05_d8,test,90,hypo,3625,mae,40.72366714477539
gbm_lr0.05_d8,test,90,hypo,3625,rmse,45.952945709228516
gbm_lr0.05_d8,test,90,tir,32493,mae,20.534334182739258
gbm_lr0.05_d8,test,90,tir,32493,rmse,27.56490707397461
gbm_lr0.05_d8,test,90,hyper,9277,mae,40.70611572265625
gbm_lr0.05_d8,test,90,hyper,9277,rmse,51.29814147949219
gbm_lr0.05_d8_iter1000,val,30,hypo,3669,mae,9.467371940612793
gbm_lr0.05_d8_iter1000,val,30,hypo,3669,rmse,13.449265480041504
gbm_lr0.05_d8_iter1000,val,30,tir,32039,mae,9.414678573608398
gbm_lr0.05_d8_iter1000,val,30,tir,32039,rmse,13.653521537780762
gbm_lr0.05_d8_iter1000,val,30,hyper,9674,mae,13.938640594482422
gbm_lr0.05_d8_iter1000,val,30,hyper,9674,rmse,19.49757194519043
gbm_lr0.05_d8_iter1000,val,60,hypo,3664,mae,23.614402770996094
gbm_lr0.05_d8_iter1000,val,60,hypo,3664,rmse,29.841564178466797
gbm_lr0.05_d8_iter1000,val,60,tir,32044,mae,16.674123764038086
gbm_lr0.05_d8_iter1000,val,60,tir,32044,rmse,22.871858596801758
gbm_lr0.05_d8_iter1000,val,60,hyper,9674,mae,28.923757553100586
gbm_lr0.05_d8_iter1000,val,60,hyper,9674,rmse,38.20380401611328
gbm_lr0.05_d8_iter1000,val,90,hypo,3663,mae,34.75692367553711
gbm_lr0.05_d8_iter1000,val,90,hypo,3663,rmse,41.62770462036133
gbm_lr0.05_d8_iter1000,val,90,tir,32048,mae,21.083663940429688
gbm_lr0.05_d8_iter1000,val,90,tir,32048,rmse,28.21866226196289
gbm_lr0.05_d8_iter1000,val,90,hyper,9671,mae,40.921932220458984
gbm_lr0.05_d8_iter1000,val,90,hyper,9671,rmse,52.19315719604492
gbm_lr0.05_d8_iter1000,test,30,hypo,3631,mae,11.004621505737305
gbm_lr0.05_d8_iter1000,test,30,hypo,3631,rmse,14.730021476745605
gbm_lr0.05_d8_iter1000,test,30,tir,32470,mae,9.442142486572266
gbm_lr0.05_d8_iter1000,test,30,tir,32470,rmse,13.636019706726074
gbm_lr0.05_d8_iter1000,test,30,hyper,9294,mae,13.933402061462402
gbm_lr0.05_d8_iter1000,test,30,hyper,9294,rmse,19.364089965820312
gbm_lr0.05_d8_iter1000,test,60,hypo,3629,mae,27.667028427124023
gbm_lr0.05_d8_iter1000,test,60,hypo,3629,rmse,33.188743591308594
gbm_lr0.05_d8_iter1000,test,60,tir,32479,mae,16.71776580810547
gbm_lr0.05_d8_iter1000,test,60,tir,32479,rmse,22.89725685119629
gbm_lr0.05_d8_iter1000,test,60,hyper,9287,mae,28.8096866607666
gbm_lr0.05_d8_iter1000,test,60,hyper,9287,rmse,37.90270233154297
gbm_lr0.05_d8_iter1000,test,90,hypo,3625,mae,41.040611267089844
gbm_lr0.05_d8_iter1000,test,90,hypo,3625,rmse,46.7177619934082
gbm_lr0.05_d8_iter1000,test,90,tir,32493,mae,21.007898330688477
gbm_lr0.05_d8_iter1000,test,90,tir,32493,rmse,28.08176612854004
gbm_lr0.05_d8_iter1000,test,90,hyper,9277,mae,40.566200256347656
gbm_lr0.05_d8_iter1000,test,90,hyper,9277,rmse,51.34954071044922
