model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
rf_n300,test,30,mae,13.940284156799317,3.22436560839102,25
rf_n300,test,30,rmse,18.828476791381835,4.048391233611883,25
rf_n300,test,60,mae,24.24971748352051,5.858555121211035,25
rf_n300,test,60,rmse,32.044403610229494,7.228826886961508,25
rf_n300,test,90,mae,32.25166748046875,8.050260754501814,25
rf_n300,test,90,rmse,41.99757110595703,9.666962136326353,25
rf_n300,val,30,mae,13.612743377685549,3.582536766502048,25
rf_n300,val,30,rmse,18.30983688354492,4.662010022569955,25
rf_n300,val,60,mae,23.710623779296878,6.787579252349451,25
rf_n300,val,60,rmse,30.97507835388184,8.489804607827566,25
rf_n300,val,90,mae,31.4410510635376,9.116040649840697,25
rf_n300,val,90,rmse,40.36056640625,11.431816989495474,25
