model,split,horizon_min,metric,value,n_samples
gbm_lr0.05_d8,test,30,mae,10.400732040405273,45395
gbm_lr0.05_d8,test,30,rmse,15.029744148254395,45395
gbm_lr0.05_d8,test,60,mae,19.769390106201172,45395
gbm_lr0.05_d8,test,60,rmse,27.218576431274414,45395
gbm_lr0.05_d8,test,90,mae,26.268884658813477,45395
gbm_lr0.05_d8,test,90,rmse,35.35921859741211,45395
gbm_lr0.05_d8,val,30,mae,10.284223556518555,45382
gbm_lr0.05_d8,val,30,rmse,15.051069259643555,45382
gbm_lr0.05_d8,val,60,mae,19.655025482177734,45382
gbm_lr0.05_d8,val,60,rmse,27.2709903717041,45382
gbm_lr0.05_d8,val,90,mae,26.331329345703125,45382
gbm_lr0.05_d8,val,90,rmse,35.63737106323242,45382
rf_n300,test,30,mae,11.788251876831055,45395
rf_n300,test,30,rmse,16.719942092895508,45395
rf_n300,test,60,mae,20.6823787689209,45395
rf_n300,test,60,rmse,28.292673110961914,45395
rf_n300,test,90,mae,27.305234909057617,45395
rf_n300,test,90,rmse,36.47834777832031,45395
rf_n300,val,30,mae,11.382853507995605,45382
rf_n300,val,30,rmse,16.344554901123047,45382
rf_n300,val,60,mae,20.17870330810547,45382
rf_n300,val,60,rmse,27.827838897705078,45382
rf_n300,val,90,mae,26.99195098876953,45382
rf_n300,val,90,rmse,36.27939224243164,45382
