model,split,horizon_min,zone,n_samples,metric,value
gbm_lr0.05_d8,test,30,hypo,3631,mae,10.42029094696045
gbm_lr0.05_d8,test,30,hypo,3631,rmse,14.026416778564453
gbm_lr0.05_d8,test,30,tir,32470,mae,9.433228492736816
gbm_lr0.05_d8,test,30,tir,32470,rmse,13.701188087463379
gbm_lr0.05_d8,test,30,hyper,9294,mae,13.773212432861328
gbm_lr0.05_d8,test,30,hyper,9294,rmse,19.251953125
gbm_lr0.05_d8,test,60,hypo,3629,mae,26.7508602142334
gbm_lr0.05_d8,test,60,hypo,3629,rmse,31.955244064331055
gbm_lr0.05_d8,test,60,tir,32479,mae,16.420330047607422
gbm_lr0.05_d8,test,60,tir,32479,rmse,22.6018123626709
gbm_lr0.05_d8,test,60,hyper,9287,mae,28.753812789916992
gbm_lr0.05_d8,test,60,hyper,9287,rmse,37.890968322753906
gbm_lr0.05_d8,test,90,hypo,3625,mae,40.72366714477539
gbm_lr0.05_d8,test,90,hypo,3625,rmse,45.952945709228516
gbm_lr0.05_d8,test,90,tir,32493,mae,20.534334182739258
gbm_lr0.05_d8,test,90,tir,32493,rmse,27.56490707397461
gbm_lr0.05_d8,test,90,hyper,9277,mae,40.70611572265625
gbm_lr0.05_d8,test,90,hyper,9277,rmse,51.29814147949219
gbm_lr0.05_d8,val,30,hypo,3669,mae,9.112879753112793
gbm_lr0.05_d8,val,30,hypo,3669,rmse,13.031829833984375
gbm_lr0.05_d8,val,30,tir,32039,mae,9.372652053833008
gbm_lr0.05_d8,val,30,tir,32039,rmse,13.699227333068848
gbm_lr0.05_d8,val,30,hyper,9674,mae,13.747477531433105
gbm_lr0.05_d8,val,30,hyper,9674,rmse,19.410306930541992
gbm_lr0.05_d8,val,60,hypo,3664,mae,23.28360366821289
gbm_lr0.05_d8,val,60,hypo,3664,rmse,29.183441162109375
gbm_lr0.05_d8,val,60,tir,32044,mae,16.446428298950195
gbm_lr0.05_d8,val,60,tir,32044,rmse,22.62344741821289
gbm_lr0.05_d8,val,60,hyper,9674,mae,28.908817291259766
gbm_lr0.05_d8,val,60,hyper,9674,rmse,38.35247039794922
gbm_lr0.05_d8,val,90,hypo,3663,mae,34.999210357666016
gbm_lr0.05_d8,val,90,hypo,3663,rmse,41.30021286010742
gbm_lr0.05_d8,val,90,tir,32048,mae,20.85039710998535
gbm_lr0.05_d8,val,90,tir,32048,rmse,27.82567596435547
gbm_lr0.05_d8,val,90,hyper,9671,mae,41.21113204956055
gbm_lr0.05_d8,val,90,hyper,9671,rmse,52.41988754272461
rf_n300,test,30,hypo,3631,mae,14.658238410949707
rf_n300,test,30,hypo,3631,rmse,17.9224910736084
rf_n300,test,30,tir,32470,mae,10.340631484985352
rf_n300,test,30,tir,32470,rmse,14.670187950134277
rf_n300,test,30,hyper,9294,mae,15.72448444366455
rf_n300,test,30,hyper,9294,rmse,22.092302322387695
rf_n300,test,60,hypo,3629,mae,29.894712448120117
rf_n300,test,60,hypo,3629,rmse,34.35111618041992
rf_n300,test,60,tir,32479,mae,17.005626678466797
rf_n300,test,60,tir,32479,rmse,23.391084671020508
rf_n300,test,60,hyper,9287,mae,29.941097259521484
rf_n300,test,60,hyper,9287,rmse,39.21913528442383
rf_n300,test,90,hypo,3625,mae,43.50663757324219
rf_n300,test,90,hypo,3625,rmse,48.52238845825195
rf_n300,test,90,tir,32493,mae,21.277009963989258
rf_n300,test,90,tir,32493,rmse,28.47827911376953
rf_n300,test,90,hyper,9277,mae,42.08857727050781
rf_n300,test,90,hyper,9277,rmse,52.44763946533203
rf_n300,val,30,hypo,3669,mae,12.057525634765625
rf_n300,val,30,hypo,3669,rmse,16.061553955078125
rf_n300,val,30,tir,32039,mae,10.091734886169434
rf_n300,val,30,tir,32039,rmse,14.489888191223145
rf_n300,val,30,hyper,9674,mae,15.402990341186523
rf_n300,val,30,hyper,9674,rmse,21.448091506958008
rf_n300,val,60,hypo,3664,mae,24.281097412109375
rf_n300,val,60,hypo,3664,rmse,29.72475242614746
rf_n300,val,60,tir,32044,mae,16.905738830566406
rf_n300,val,60,tir,32044,rmse,23.142629623413086
rf_n300,val,60,hyper,9674,mae,29.466249465942383
rf_n300,val,60,hyper,9674,rmse,39.039222717285156
rf_n300,val,90,hypo,3663,mae,36.14950942993164
rf_n300,val,90,hypo,3663,rmse,42.4205322265625
rf_n300,val,90,tir,32048,mae,21.41559410095215
rf_n300,val,90,tir,32048,rmse,28.492870330810547
rf_n300,val,90,hyper,9671,mae,42.00248718261719
rf_n300,val,90,hyper,9671,rmse,52.95720672607422
