model,feature,importance
rf,glucose_lag0,0.5792227065308011
rf,subject_mean_glucose,0.09651586193073954
rf,glucose_velocity_lag0,0.0815066899377545
rf,subject_hyper_pct,0.05930030310916893
rf,subject_hypo_pct,0.014488189285063279
rf,subject_std_glucose,0.010910285529975717
rf,glucose_velocity_lag1,0.003562352321011059
rf,hour_cos_lag23,0.0028068387709249314
rf,steps_150m_sum_lag0,0.002723947740969042
rf,bolus_events_per_day,0.002710491849200917
rf,glucose_lag1,0.002430854670816548
rf,dx_time_years,0.0017328655717464088
rf,bmi,0.0017101300733852816
rf,glucose_120m_mean_lag23,0.0016618345985959506
rf,mean_heart_rate,0.0016415935303293974
rf,carbs_on_board_lag0,0.0015088994229088806
rf,heart_rate_lag0,0.0014308096817439503
rf,glucose_60m_std_lag0,0.0013604018331090542
rf,hba1c_pct,0.0013550403215655013
rf,age_years,0.0013217486831496126
