model,split,horizon_min,mae,rmse,mae_pat_avg,rmse_pat_avg,clarke_pct_A,clarke_pct_B,clarke_pct_C,clarke_pct_D,clarke_pct_E
gbm_lr0.05_d8,test,30,10.400732040405273,15.029744148254395,12.108070888519286,16.815514602661132,91.26776076660425,6.791496860887763,0.0,1.9407423725079855,0.0
gbm_lr0.05_d8,test,60,19.769390106201172,27.218576431274414,23.584464111328124,31.25434860229492,72.78554906928076,20.737966736424717,0.05727503028967948,6.408194735102985,0.011014428901861438
gbm_lr0.05_d8,test,90,26.268884658813477,35.35921859741211,31.49169288635254,41.000878219604495,61.10805154752726,30.230201564048905,0.16521643352792156,8.443661196166978,0.05286925872893491
gbm_lr0.05_d8,val,30,10.284223556518555,15.051069259643555,11.861080884933472,16.43587345123291,92.04750782248469,6.315279185580186,0.013221100876999691,1.6129743069939624,0.01101758406416641
gbm_lr0.05_d8,val,60,19.655025482177734,27.2709903717041,22.84091583251953,30.133578720092775,73.98087347406461,20.334053148825525,0.06830902119783173,5.592525670970869,0.0242386849411661
gbm_lr0.05_d8,val,90,26.331329345703125,35.63737106323242,30.268202285766602,39.05972717285156,61.99814904587722,30.157331100436295,0.18729892909082896,7.577894319333656,0.07932660526199815
rf_n300,test,30,11.788251876831055,16.719942092895508,13.940284156799317,18.828476791381835,88.00748981165327,8.582443000330432,0.0,3.4100671880163014,0.0
rf_n300,test,60,20.6823787689209,28.292673110961914,24.24971748352051,32.044403610229494,71.06729816059037,21.931930829386495,0.0726952307522855,6.914858464588611,0.013217314682233727
rf_n300,test,90,27.305234909057617,36.47834777832031,32.25166748046875,41.99757110595703,59.03293314241657,32.0431765612953,0.1960568344531336,8.677167088886442,0.05066637294856262
rf_n300,val,30,11.382853507995605,16.344554901123047,13.612743377685547,18.30983688354492,90.13044819531973,7.507381781322992,0.013221100876999691,2.3467454056674453,0.002203516812833282
rf_n300,val,60,20.17870330810547,27.827838897705078,23.710623779296874,30.975078353881838,72.42078357057865,21.433608038429334,0.09475122295183112,6.026618483099026,0.0242386849411661
rf_n300,val,90,26.99195098876953,36.27939224243164,31.441051063537596,40.36056640625,60.678242474990085,31.318584460799435,0.22696223172182803,7.7012912608523205,0.07491957163633159
