model,split,horizon_min,zone,n_samples,pct,total
lstm_phase_c1,val,30,A,36422,80.25648935701379,45382
lstm_phase_c1,val,30,B,6468,14.252346745405667,45382
lstm_phase_c1,val,30,C,7,0.015424617689832974,45382
lstm_phase_c1,val,30,D,2483,5.471332246265039,45382
lstm_phase_c1,val,30,E,2,0.004407033625666564,45382
lstm_phase_c1,val,60,A,31529,69.47468159182054,45382
lstm_phase_c1,val,60,B,10889,23.994094574941606,45382
lstm_phase_c1,val,60,C,78,0.171874311400996,45382
lstm_phase_c1,val,60,D,2873,6.330703803270019,45382
lstm_phase_c1,val,60,E,13,0.028645718566832665,45382
lstm_phase_c1,val,90,A,26954,59.39359217310828,45382
lstm_phase_c1,val,90,B,14988,33.02630999074523,45382
lstm_phase_c1,val,90,C,191,0.42087171125115685,45382
lstm_phase_c1,val,90,D,3194,7.038032700189502,45382
lstm_phase_c1,val,90,E,55,0.1211934247058305,45382
lstm_phase_c1,test,30,A,35956,79.20696111906598,45395
lstm_phase_c1,test,30,B,7042,15.51272166538165,45395
lstm_phase_c1,test,30,C,12,0.026434629364467454,45395
lstm_phase_c1,test,30,D,2385,5.253882586187906,45395
lstm_phase_c1,test,30,E,0,0.0,45395
lstm_phase_c1,test,60,A,31553,69.50765502808679,45395
lstm_phase_c1,test,60,B,10966,24.15684546756251,45395
lstm_phase_c1,test,60,C,84,0.18504240555127216,45395
lstm_phase_c1,test,60,D,2778,6.119616697874215,45395
lstm_phase_c1,test,60,E,14,0.03084040092521203,45395
lstm_phase_c1,test,90,A,27783,61.20277563608327,45395
lstm_phase_c1,test,90,B,14287,31.472629144178875,45395
lstm_phase_c1,test,90,C,222,0.48904064324264784,45395
lstm_phase_c1,test,90,D,3036,6.6879612292102655,45395
lstm_phase_c1,test,90,E,67,0.14759334728494328,45395
gru_phase_c1,val,30,A,37942,83.60583491252038,45382
gru_phase_c1,val,30,B,6366,14.027588030496673,45382
gru_phase_c1,val,30,C,6,0.013221100876999691,45382
gru_phase_c1,val,30,D,1064,2.344541888854612,45382
gru_phase_c1,val,30,E,4,0.008814067251333128,45382
gru_phase_c1,val,60,A,31586,69.60028205015205,45382
gru_phase_c1,val,60,B,11487,25.31179762901591,45382
gru_phase_c1,val,60,C,62,0.13661804239566347,45382
gru_phase_c1,val,60,D,2230,4.913842492618219,45382
gru_phase_c1,val,60,E,17,0.037459785818165794,45382
gru_phase_c1,val,90,A,27015,59.52800669869111,45382
gru_phase_c1,val,90,B,15192,33.47582742056322,45382
gru_phase_c1,val,90,C,158,0.34815565642765856,45382
gru_phase_c1,val,90,D,2970,6.544444934114847,45382
gru_phase_c1,val,90,E,47,0.10356529020316425,45382
gru_phase_c1,test,30,A,38210,84.17226566802512,45395
gru_phase_c1,test,30,B,6270,13.812093842934244,45395
gru_phase_c1,test,30,C,15,0.03304328670558432,45395
gru_phase_c1,test,30,D,900,1.9825972023350589,45395
gru_phase_c1,test,30,E,0,0.0,45395
gru_phase_c1,test,60,A,32486,71.56294746117413,45395
gru_phase_c1,test,60,B,10849,23.89910783125895,45395
gru_phase_c1,test,60,C,88,0.19385394867276132,45395
gru_phase_c1,test,60,D,1959,4.315453243749311,45395
gru_phase_c1,test,60,E,13,0.02863751514483974,45395
gru_phase_c1,test,90,A,28271,62.27778389690494,45395
gru_phase_c1,test,90,B,14124,31.11355876197819,45395
gru_phase_c1,test,90,C,194,0.4273598413922238,45395
gru_phase_c1,test,90,D,2734,6.022689723537835,45395
gru_phase_c1,test,90,E,72,0.15860777618680472,45395
