model,split,horizon_min,metric,value,n_samples
lstm_phase_c1,val,30,mae,16.37916374206543,45382
lstm_phase_c1,val,30,rmse,21.894380569458008,45382
lstm_phase_c1,val,60,mae,21.95261001586914,45382
lstm_phase_c1,val,60,rmse,30.053131103515625,45382
lstm_phase_c1,val,90,mae,27.902055740356445,45382
lstm_phase_c1,val,90,rmse,38.1040153503418,45382
lstm_phase_c1,test,30,mae,16.564786911010742,45395
lstm_phase_c1,test,30,rmse,22.371700286865234,45395
lstm_phase_c1,test,60,mae,21.83968734741211,45395
lstm_phase_c1,test,60,rmse,30.16274642944336,45395
lstm_phase_c1,test,90,mae,27.41136360168457,45395
lstm_phase_c1,test,90,rmse,37.73685836791992,45395
gru_phase_c1,val,30,mae,15.535249710083008,45382
gru_phase_c1,val,30,rmse,21.022695541381836,45382
gru_phase_c1,val,60,mae,21.933082580566406,45382
gru_phase_c1,val,60,rmse,30.01296043395996,45382
gru_phase_c1,val,90,mae,27.750370025634766,45382
gru_phase_c1,val,90,rmse,37.712223052978516,45382
gru_phase_c1,test,30,mae,15.229500770568848,45395
gru_phase_c1,test,30,rmse,20.993194580078125,45395
gru_phase_c1,test,60,mae,21.35195541381836,45395
gru_phase_c1,test,60,rmse,29.750802993774414,45395
gru_phase_c1,test,90,mae,26.94231414794922,45395
gru_phase_c1,test,90,rmse,37.1014289855957,45395
