model,split,horizon_min,zone,n_samples,metric,value
gru_c2_zw,val,30,hypo,3669,mae,14.180655479431152
gru_c2_zw,val,30,hypo,3669,rmse,17.738784790039062
gru_c2_zw,val,30,tir,32039,mae,15.227738380432129
gru_c2_zw,val,30,tir,32039,rmse,19.79784393310547
gru_c2_zw,val,30,hyper,9674,mae,23.07132339477539
gru_c2_zw,val,30,hyper,9674,rmse,29.975656509399414
gru_c2_zw,val,60,hypo,3664,mae,19.11147117614746
gru_c2_zw,val,60,hypo,3664,rmse,25.551536560058594
gru_c2_zw,val,60,tir,32044,mae,20.264245986938477
gru_c2_zw,val,60,tir,32044,rmse,27.224365234375
gru_c2_zw,val,60,hyper,9674,mae,32.048744201660156
gru_c2_zw,val,60,hyper,9674,rmse,41.824241638183594
gru_c2_zw,val,90,hypo,3663,mae,26.033693313598633
gru_c2_zw,val,90,hypo,3663,rmse,35.31551742553711
gru_c2_zw,val,90,tir,32048,mae,24.81800079345703
gru_c2_zw,val,90,tir,32048,rmse,33.27049255371094
gru_c2_zw,val,90,hyper,9671,mae,42.155452728271484
gru_c2_zw,val,90,hyper,9671,rmse,53.985374450683594
gru_c2_zw,test,30,hypo,3631,mae,14.131978034973145
gru_c2_zw,test,30,hypo,3631,rmse,18.34634780883789
gru_c2_zw,test,30,tir,32470,mae,15.119359016418457
gru_c2_zw,test,30,tir,32470,rmse,20.134004592895508
gru_c2_zw,test,30,hyper,9294,mae,22.469768524169922
gru_c2_zw,test,30,hyper,9294,rmse,29.170724868774414
gru_c2_zw,test,60,hypo,3629,mae,19.988840103149414
gru_c2_zw,test,60,hypo,3629,rmse,27.819787979125977
gru_c2_zw,test,60,tir,32479,mae,20.098529815673828
gru_c2_zw,test,60,tir,32479,rmse,27.632675170898438
gru_c2_zw,test,60,hyper,9287,mae,30.555662155151367
gru_c2_zw,test,60,hyper,9287,rmse,40.0004997253418
gru_c2_zw,test,90,hypo,3625,mae,28.30760383605957
gru_c2_zw,test,90,hypo,3625,rmse,39.29433059692383
gru_c2_zw,test,90,tir,32493,mae,24.171142578125
gru_c2_zw,test,90,tir,32493,rmse,33.27293395996094
gru_c2_zw,test,90,hyper,9277,mae,40.0660400390625
gru_c2_zw,test,90,hyper,9277,rmse,51.60824966430664
gru_c2_zwh30,val,30,hypo,3669,mae,13.283245086669922
gru_c2_zwh30,val,30,hypo,3669,rmse,16.786951065063477
gru_c2_zwh30,val,30,tir,32039,mae,14.214334487915039
gru_c2_zwh30,val,30,tir,32039,rmse,18.81513214111328
gru_c2_zwh30,val,30,hyper,9674,mae,22.589324951171875
gru_c2_zwh30,val,30,hyper,9674,rmse,29.768423080444336
gru_c2_zwh30,val,60,hypo,3664,mae,20.5172119140625
gru_c2_zwh30,val,60,hypo,3664,rmse,26.832178115844727
gru_c2_zwh30,val,60,tir,32044,mae,19.504762649536133
gru_c2_zwh30,val,60,tir,32044,rmse,26.43895721435547
gru_c2_zwh30,val,60,hyper,9674,mae,31.57860565185547
gru_c2_zwh30,val,60,hyper,9674,rmse,41.67658996582031
gru_c2_zwh30,val,90,hypo,3663,mae,28.75043487548828
gru_c2_zwh30,val,90,hypo,3663,rmse,37.16928482055664
gru_c2_zwh30,val,90,tir,32048,mae,23.993661880493164
gru_c2_zwh30,val,90,tir,32048,rmse,32.27130126953125
gru_c2_zwh30,val,90,hyper,9671,mae,41.933082580566406
gru_c2_zwh30,val,90,hyper,9671,rmse,53.8962287902832
gru_c2_zwh30,test,30,hypo,3631,mae,13.12303638458252
gru_c2_zwh30,test,30,hypo,3631,rmse,17.104814529418945
gru_c2_zwh30,test,30,tir,32470,mae,14.13262939453125
gru_c2_zwh30,test,30,tir,32470,rmse,19.232254028320312
gru_c2_zwh30,test,30,hyper,9294,mae,22.30879783630371
gru_c2_zwh30,test,30,hyper,9294,rmse,29.341075897216797
gru_c2_zwh30,test,60,hypo,3629,mae,20.356584548950195
gru_c2_zwh30,test,60,hypo,3629,rmse,27.960586547851562
