model,split,horizon_min,zone,n_samples,pct,total
step6_hybrid,val,30,A,40560,89.37464192851792,45382
step6_hybrid,val,30,B,4344,9.572077034947776,45382
step6_hybrid,val,30,C,4,0.008814067251333128,45382
step6_hybrid,val,30,D,473,1.0422634524701424,45382
step6_hybrid,val,30,E,1,0.002203516812833282,45382
step6_hybrid,val,60,A,33857,74.60446873209642,45382
step6_hybrid,val,60,B,10046,22.13652990172315,45382
step6_hybrid,val,60,C,44,0.0969547397646644,45382
step6_hybrid,val,60,D,1410,3.1069587060949275,45382
step6_hybrid,val,60,E,25,0.05508792032083205,45382
step6_hybrid,val,90,A,28632,63.09109338504253,45382
step6_hybrid,val,90,B,14190,31.26790357410427,45382
step6_hybrid,val,90,C,157,0.34595213961482524,45382
step6_hybrid,val,90,D,2344,5.165043409281213,45382
step6_hybrid,val,90,E,59,0.13000749195716363,45382
step6_hybrid,test,30,A,40266,88.70139883247053,45395
step6_hybrid,test,30,B,4464,9.833682123581893,45395
step6_hybrid,test,30,C,1,0.0022028857803722875,45395
step6_hybrid,test,30,D,664,1.462716158167199,45395
step6_hybrid,test,30,E,0,0.0,45395
step6_hybrid,test,60,A,33603,74.02357087784998,45395
step6_hybrid,test,60,B,9922,21.85703271285384,45395
step6_hybrid,test,60,C,43,0.09472408855600838,45395
step6_hybrid,test,60,D,1818,4.004846348716819,45395
step6_hybrid,test,60,E,9,0.01982597202335059,45395
step6_hybrid,test,90,A,28921,63.70965965414693,45395
step6_hybrid,test,90,B,13568,29.888754268091198,45395
step6_hybrid,test,90,C,139,0.306201123471748,45395
step6_hybrid,test,90,D,2732,6.01828395197709,45395
step6_hybrid,test,90,E,35,0.07710100231303008,45395
