model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
step6_hybrid,val,30,mae,14.337987422943115,4.448711624847011,25
step6_hybrid,val,30,rmse,19.409524269104004,5.646232219022593,25
step6_hybrid,val,60,mae,23.403409061431883,7.4093644267057766,25
step6_hybrid,val,60,rmse,31.302756118774415,9.188990063891433,25
step6_hybrid,val,90,mae,30.91049263000488,9.699259558245085,25
step6_hybrid,val,90,rmse,40.91169910430908,12.284128325349878,25
step6_hybrid,test,30,mae,14.063576011657714,3.651830406146921,25
step6_hybrid,test,30,rmse,18.939834747314453,4.605734609616087,25
step6_hybrid,test,60,mae,23.256087913513184,6.59192033292745,25
step6_hybrid,test,60,rmse,31.213356437683107,8.220246315442665,25
step6_hybrid,test,90,mae,31.145444526672364,8.787969075784204,25
step6_hybrid,test,90,rmse,41.26245185852051,11.134926009776354,25
