model,split,horizon_min,metric,value,n_samples
step6_hybrid,val,30,mae,12.228912353515625,45382
step6_hybrid,val,30,rmse,17.448348999023438,45382
step6_hybrid,val,60,mae,19.896961212158203,45382
step6_hybrid,val,60,rmse,28.138792037963867,45382
step6_hybrid,val,90,mae,26.220521926879883,45382
step6_hybrid,val,90,rmse,36.611778259277344,45382
step6_hybrid,test,30,mae,12.2089262008667,45395
step6_hybrid,test,30,rmse,17.255460739135742,45395
step6_hybrid,test,60,mae,19.733959197998047,45395
step6_hybrid,test,60,rmse,27.74260139465332,45395
step6_hybrid,test,90,mae,26.090734481811523,45395
step6_hybrid,test,90,rmse,36.01295852661133,45395
