model,split,horizon_min,zone,n_samples,metric,value
step6_hybrid,val,30,hypo,3669,mae,8.309073448181152
step6_hybrid,val,30,hypo,3669,rmse,11.679201126098633
step6_hybrid,val,30,tir,32039,mae,11.50094223022461
step6_hybrid,val,30,tir,32039,rmse,16.195924758911133
step6_hybrid,val,30,hyper,9674,mae,16.126502990722656
step6_hybrid,val,30,hyper,9674,rmse,22.532833099365234
step6_hybrid,val,60,hypo,3664,mae,15.081814765930176
step6_hybrid,val,60,hypo,3664,rmse,22.21106719970703
step6_hybrid,val,60,tir,32044,mae,18.028331756591797
step6_hybrid,val,60,tir,32044,rmse,24.96112632751465
step6_hybrid,val,60,hyper,9674,mae,27.9102840423584
step6_hybrid,val,60,hyper,9674,rmse,38.25890350341797
step6_hybrid,val,90,hypo,3663,mae,22.510242462158203
step6_hybrid,val,90,hypo,3663,rmse,32.439491271972656
step6_hybrid,val,90,tir,32048,mae,22.37321662902832
step6_hybrid,val,90,tir,32048,rmse,30.511070251464844
step6_hybrid,val,90,hyper,9671,mae,40.37511444091797
step6_hybrid,val,90,hyper,9671,rmse,52.97683334350586
step6_hybrid,test,30,hypo,3631,mae,9.423895835876465
step6_hybrid,test,30,hypo,3631,rmse,13.239425659179688
step6_hybrid,test,30,tir,32470,mae,11.388219833374023
step6_hybrid,test,30,tir,32470,rmse,15.994219779968262
step6_hybrid,test,30,hyper,9294,mae,16.164249420166016
step6_hybrid,test,30,hyper,9294,rmse,22.183469772338867
step6_hybrid,test,60,hypo,3629,mae,18.337879180908203
step6_hybrid,test,60,hypo,3629,rmse,25.867231369018555
step6_hybrid,test,60,tir,32479,mae,17.702335357666016
step6_hybrid,test,60,tir,32479,rmse,24.748306274414062
step6_hybrid,test,60,hyper,9287,mae,27.384607315063477
step6_hybrid,test,60,hyper,9287,rmse,36.85936737060547
step6_hybrid,test,90,hypo,3625,mae,28.54462242126465
step6_hybrid,test,90,hypo,3625,rmse,38.318363189697266
step6_hybrid,test,90,tir,32493,mae,22.15216827392578
step6_hybrid,test,90,tir,32493,rmse,30.358755111694336
step6_hybrid,test,90,hyper,9277,mae,38.92684555053711
step6_hybrid,test,90,hyper,9277,rmse,50.44204330444336
