model,split,horizon_min,glycaemic_zone,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
step6_v2_no_attn,test,30,hyper,88.81940700808626,9.056603773584905,2.123989218328841,8238,840,197,9275
step6_v2_no_attn,test,30,hypo,77.90344827586208,0.0,22.09655172413793,2824,0,801,3625
step6_v2_no_attn,test,30,tir,86.87538556446638,11.807526218383714,1.3170882171499074,28165,3828,427,32420
step6_v2_no_attn,test,60,hyper,85.35953357806089,11.239473115957676,3.4009933059814297,7906,1041,315,9262
step6_v2_no_attn,test,60,hypo,63.149171270718234,0.0,36.850828729281766,2286,0,1334,3620
step6_v2_no_attn,test,60,tir,81.49084407176768,16.129231148652813,2.3799247795795053,26434,5232,772,32438
step6_v2_no_attn,test,90,hyper,83.35315101070155,12.041941411739272,4.604907577559183,7711,1114,426,9251
step6_v2_no_attn,test,90,hypo,50.12434374136502,0.027631942525559547,49.848024316109424,1814,1,1804,3619
step6_v2_no_attn,test,90,tir,79.57781201848998,17.864406779661017,2.5577812018489983,25823,5797,830,32450
step6_v2_no_attn,val,30,hyper,87.67109083367897,10.0580671920365,2.2708419742845294,8455,970,219,9644
step6_v2_no_attn,val,30,hypo,80.88998088998089,0.0273000273000273,19.082719082719084,2963,1,699,3663
step6_v2_no_attn,val,30,tir,87.6,11.2875,1.1125,28032,3612,356,32000
step6_v2_no_attn,val,60,hyper,83.01534632932393,12.743674823724596,4.240978846951473,8006,1229,409,9644
step6_v2_no_attn,val,60,hypo,67.90595954073264,0.0,32.09404045926736,2484,0,1174,3658
step6_v2_no_attn,val,60,tir,82.09342290267146,15.725667864396188,2.1809092329323545,26274,5033,698,32005
step6_v2_no_attn,val,90,hyper,81.82289506428867,13.345085026959767,4.832019908751556,7891,1287,466,9644
step6_v2_no_attn,val,90,hypo,53.54115395132622,0.0,46.45884604867378,1958,0,1699,3657
step6_v2_no_attn,val,90,tir,80.00062488283447,17.78728988314691,2.2120852340186214,25605,5693,708,32006
step6_v2_no_moddrop,test,30,hyper,89.46630727762803,8.571428571428571,1.9622641509433962,8298,795,182,9275
step6_v2_no_moddrop,test,30,hypo,81.84827586206896,0.08275862068965517,18.06896551724138,2967,3,655,3625
step6_v2_no_moddrop,test,30,tir,87.62800740283775,11.169031462060456,1.202961135101789,28409,3621,390,32420
step6_v2_no_moddrop,test,60,hyper,85.1220038868495,11.530986827898943,3.3470092852515654,7884,1068,310,9262
step6_v2_no_moddrop,test,60,hypo,63.92265193370166,0.0,36.07734806629834,2314,0,1306,3620
step6_v2_no_moddrop,test,60,tir,81.88236019483323,15.83328195326469,2.28435785190209,26561,5136,741,32438
step6_v2_no_moddrop,test,90,hyper,83.6450113501243,12.0743703383418,4.280618311533888,7738,1117,396,9251
step6_v2_no_moddrop,test,90,hypo,50.898038132080686,0.027631942525559547,49.074329925393755,1842,1,1776,3619
step6_v2_no_moddrop,test,90,tir,80.16024653312789,17.38366718027735,2.4560862865947612,26012,5641,797,32450
step6_v2_no_moddrop,val,30,hyper,89.3716300290336,8.65823309829946,1.9701368726669433,8619,835,190,9644
step6_v2_no_moddrop,val,30,hypo,88.04258804258804,0.0,11.957411957411958,3225,0,438,3663
step6_v2_no_moddrop,val,30,tir,87.859375,11.19375,0.946875,28115,3582,303,32000
step6_v2_no_moddrop,val,60,hyper,84.08336789713812,12.038573206138532,3.8780588967233514,8109,1161,374,9644
step6_v2_no_moddrop,val,60,hypo,72.36194641880809,0.0,27.638053581191908,2647,0,1011,3658
step6_v2_no_moddrop,val,60,tir,81.90595219496953,16.116231838775192,1.9778159662552726,26214,5158,633,32005
step6_v2_no_moddrop,val,90,hyper,81.78141849854832,13.334715885524679,4.883865615927001,7887,1286,471,9644
step6_v2_no_moddrop,val,90,hypo,59.721082854799015,0.0,40.278917145200985,2184,0,1473,3657
step6_v2_no_moddrop,val,90,tir,79.9662563269387,17.97163031931513,2.0621133537461724,25594,5752,660,32006
step6_v2_pers_resid,test,30,hyper,91.50404312668464,6.630727762803234,1.8652291105121295,8487,615,173,9275
step6_v2_pers_resid,test,30,hypo,84.55172413793103,0.0,15.448275862068966,3065,0,560,3625
step6_v2_pers_resid,test,30,tir,90.3670573719926,8.399136335595312,1.2338062924120914,29297,2723,400,32420
step6_v2_pers_resid,test,60,hyper,84.63614770028072,11.25026992010365,4.113582379615634,7839,1042,381,9262
step6_v2_pers_resid,test,60,hypo,58.03867403314917,0.0,41.96132596685083,2101,0,1519,3620
step6_v2_pers_resid,test,60,tir,81.7744620506813,15.830199149146063,2.3953388001726372,26526,5135,777,32438
step6_v2_pers_resid,test,90,hyper,81.45065398335315,13.090476705221057,5.458869311425792,7535,1211,505,9251
step6_v2_pers_resid,test,90,hypo,37.6347057198121,0.0,62.3652942801879,1362,0,2257,3619
step6_v2_pers_resid,test,90,tir,78.61016949152543,18.52080123266564,2.869029275808937,25509,6010,931,32450
step6_v2_pers_resid,val,30,hyper,91.78763998340938,6.470344255495645,1.7420157610949814,8852,624,168,9644
step6_v2_pers_resid,val,30,hypo,88.77968877968878,0.0273000273000273,11.193011193011193,3252,1,410,3663
step6_v2_pers_resid,val,30,tir,91.040625,7.965625,0.99375,29133,2549,318,32000
step6_v2_pers_resid,val,60,hyper,83.86561592700124,11.841559518871838,4.292824554126918,8088,1142,414,9644
step6_v2_pers_resid,val,60,hypo,64.65281574630946,0.0,35.34718425369054,2365,0,1293,3658
step6_v2_pers_resid,val,60,tir,82.44336822371504,15.363224496172473,2.193407280112482,26386,4917,702,32005
step6_v2_pers_resid,val,90,hyper,80.5578598092078,14.039817503110742,5.40232268768146,7769,1354,521,9644
