model,split,horizon_min,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
persistence,test,30,91.76743159752868,5.732568402471316,2.5,41589.0,2598.0,1133.0,45320
ridge_a0.1,test,30,87.10503089143866,9.902912621359222,2.9920564872021185,39476.0,4488.0,1356.0,45320
rf_n300,test,30,87.2639011473963,8.10017652250662,4.635922330097087,39548.0,3671.0,2101.0,45320
gbm_n300,test,30,89.05560458958517,7.747131509267431,3.197263901147396,40360.0,3511.0,1449.0,45320
gru_c2_zwh30a,test,30,83.87246248896734,13.0648720211827,3.062665489849956,38011.0,5921.0,1388.0,45320
step6_v2_pers_resid_clinical,test,30,88.4973521624007,9.849955869373344,1.6526919682259489,40107.0,4464.0,749.0,45320
persistence,test,60,85.39717563989409,9.45278022947926,5.150044130626655,38702.0,4284.0,2334.0,45320
ridge_a0.1,test,60,79.2828773168579,14.558693733451015,6.158428949691086,35931.0,6598.0,2791.0,45320
rf_n300,test,60,78.13989408649603,13.2171226831421,8.642983230361871,35413.0,5990.0,3917.0,45320
gbm_n300,test,60,79.17255075022065,12.601500441306266,8.225948808473081,35881.0,5711.0,3728.0,45320
gru_c2_zwh30a,test,60,78.02956751985879,16.434245366284202,5.536187113857017,35363.0,7448.0,2509.0,45320
step6_v2_pers_resid_clinical,test,60,79.4593998234775,16.68137687555163,3.8592233009708736,36011.0,7560.0,1749.0,45320
persistence,test,90,81.88658428949691,11.654898499558694,6.458517210944396,37111.0,5282.0,2927.0,45320
ridge_a0.1,test,90,76.19152691968226,15.392762577228597,8.415710503089144,34530.0,6976.0,3814.0,45320
rf_n300,test,90,75.60017652250662,14.406443071491616,9.993380406001766,34262.0,6529.0,4529.0,45320
gbm_n300,test,90,76.95278022947926,13.375992939099737,9.671226831421006,34875.0,6062.0,4383.0,45320
gru_c2_zwh30a,test,90,76.01279788172992,16.802736098852602,7.184466019417476,34449.0,7615.0,3256.0,45320
step6_v2_pers_resid_clinical,test,90,76.85569285083848,17.705207413945278,5.4390997352162405,34831.0,8024.0,2465.0,45320
