model,split,horizon_min,zone,n_samples,pct,total
step6_hybrid_v2_no_attn,val,30,A,39284,86.56295447534265,45382
step6_hybrid_v2_no_attn,val,30,B,5387,11.87034507073289,45382
step6_hybrid_v2_no_attn,val,30,C,7,0.015424617689832974,45382
step6_hybrid_v2_no_attn,val,30,D,701,1.5446652857961307,45382
step6_hybrid_v2_no_attn,val,30,E,3,0.006610550438499846,45382
step6_hybrid_v2_no_attn,val,60,A,33295,73.36609228328412,45382
step6_hybrid_v2_no_attn,val,60,B,10655,23.47847164073862,45382
step6_hybrid_v2_no_attn,val,60,C,44,0.0969547397646644,45382
step6_hybrid_v2_no_attn,val,60,D,1354,2.9835617645762635,45382
step6_hybrid_v2_no_attn,val,60,E,34,0.07491957163633159,45382
step6_hybrid_v2_no_attn,val,90,A,28204,62.147988189149885,45382
step6_hybrid_v2_no_attn,val,90,B,14840,32.7001895024459,45382
step6_hybrid_v2_no_attn,val,90,C,125,0.27543960160416026,45382
step6_hybrid_v2_no_attn,val,90,D,2143,4.722136529901723,45382
step6_hybrid_v2_no_attn,val,90,E,70,0.15424617689832973,45382
step6_hybrid_v2_no_attn,test,30,A,39133,86.20552924330873,45395
step6_hybrid_v2_no_attn,test,30,B,5461,12.029959246613062,45395
step6_hybrid_v2_no_attn,test,30,C,2,0.004405771560744575,45395
step6_hybrid_v2_no_attn,test,30,D,799,1.7601057385174579,45395
step6_hybrid_v2_no_attn,test,30,E,0,0.0,45395
step6_hybrid_v2_no_attn,test,60,A,33332,73.42658883136909,45395
step6_hybrid_v2_no_attn,test,60,B,10495,23.119286265007158,45395
step6_hybrid_v2_no_attn,test,60,C,44,0.09692697433638066,45395
step6_hybrid_v2_no_attn,test,60,D,1513,3.3329661857032713,45395
step6_hybrid_v2_no_attn,test,60,E,11,0.024231743584095165,45395
step6_hybrid_v2_no_attn,test,90,A,28795,63.432096045820025,45395
step6_hybrid_v2_no_attn,test,90,B,14185,31.2479347945809,45395
step6_hybrid_v2_no_attn,test,90,C,129,0.2841722656680251,45395
step6_hybrid_v2_no_attn,test,90,D,2226,4.903623747108712,45395
step6_hybrid_v2_no_attn,test,90,E,60,0.13217314682233727,45395
