model,split,horizon_min,zone,n_samples,metric,value
step6_hybrid_v2_no_attn,val,30,hypo,3669,mae,9.93868350982666
step6_hybrid_v2_no_attn,val,30,hypo,3669,rmse,13.632370948791504
step6_hybrid_v2_no_attn,val,30,tir,32039,mae,12.411006927490234
step6_hybrid_v2_no_attn,val,30,tir,32039,rmse,16.930625915527344
step6_hybrid_v2_no_attn,val,30,hyper,9674,mae,19.957881927490234
step6_hybrid_v2_no_attn,val,30,hyper,9674,rmse,26.467721939086914
step6_hybrid_v2_no_attn,val,60,hypo,3664,mae,14.919832229614258
step6_hybrid_v2_no_attn,val,60,hypo,3664,rmse,22.114356994628906
step6_hybrid_v2_no_attn,val,60,tir,32044,mae,18.108314514160156
step6_hybrid_v2_no_attn,val,60,tir,32044,rmse,24.8477725982666
step6_hybrid_v2_no_attn,val,60,hyper,9674,mae,31.30014419555664
step6_hybrid_v2_no_attn,val,60,hyper,9674,rmse,41.795352935791016
step6_hybrid_v2_no_attn,val,90,hypo,3663,mae,21.734533309936523
step6_hybrid_v2_no_attn,val,90,hypo,3663,rmse,31.709583282470703
step6_hybrid_v2_no_attn,val,90,tir,32048,mae,22.723899841308594
step6_hybrid_v2_no_attn,val,90,tir,32048,rmse,30.68621063232422
step6_hybrid_v2_no_attn,val,90,hyper,9671,mae,43.698429107666016
step6_hybrid_v2_no_attn,val,90,hyper,9671,rmse,56.386268615722656
step6_hybrid_v2_no_attn,test,30,hypo,3631,mae,10.882625579833984
step6_hybrid_v2_no_attn,test,30,hypo,3631,rmse,15.190811157226562
step6_hybrid_v2_no_attn,test,30,tir,32470,mae,12.433977127075195
step6_hybrid_v2_no_attn,test,30,tir,32470,rmse,16.925111770629883
step6_hybrid_v2_no_attn,test,30,hyper,9294,mae,19.554838180541992
step6_hybrid_v2_no_attn,test,30,hyper,9294,rmse,25.740530014038086
step6_hybrid_v2_no_attn,test,60,hypo,3629,mae,17.35609245300293
step6_hybrid_v2_no_attn,test,60,hypo,3629,rmse,25.76052474975586
step6_hybrid_v2_no_attn,test,60,tir,32479,mae,17.94577407836914
step6_hybrid_v2_no_attn,test,60,tir,32479,rmse,24.813589096069336
step6_hybrid_v2_no_attn,test,60,hyper,9287,mae,30.191476821899414
step6_hybrid_v2_no_attn,test,60,hyper,9287,rmse,39.69612503051758
step6_hybrid_v2_no_attn,test,90,hypo,3625,mae,25.7504825592041
step6_hybrid_v2_no_attn,test,90,hypo,3625,rmse,36.904048919677734
step6_hybrid_v2_no_attn,test,90,tir,32493,mae,22.09200096130371
step6_hybrid_v2_no_attn,test,90,tir,32493,rmse,30.274627685546875
step6_hybrid_v2_no_attn,test,90,hyper,9277,mae,41.61764907836914
step6_hybrid_v2_no_attn,test,90,hyper,9277,rmse,53.13426208496094
