model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
step6_hybrid_v2_no_moddrop,val,30,mae,16.014967613220215,4.337438044773435,25
step6_hybrid_v2_no_moddrop,val,30,rmse,21.098337669372558,5.470904394731854,25
step6_hybrid_v2_no_moddrop,val,60,mae,23.716852264404295,6.99419907274162,25
step6_hybrid_v2_no_moddrop,val,60,rmse,31.58499252319336,8.913152099663844,25
step6_hybrid_v2_no_moddrop,val,90,mae,31.188111457824707,9.562101615167336,25
step6_hybrid_v2_no_moddrop,val,90,rmse,41.02399604797363,12.379734484286763,25
step6_hybrid_v2_no_moddrop,test,30,mae,16.77161510467529,4.766952118782211,25
step6_hybrid_v2_no_moddrop,test,30,rmse,22.29242572784424,6.044903628039079,25
step6_hybrid_v2_no_moddrop,test,60,mae,24.239711685180666,6.8738169695327125,25
step6_hybrid_v2_no_moddrop,test,60,rmse,32.418923416137694,8.63382198471472,25
step6_hybrid_v2_no_moddrop,test,90,mae,31.803230819702147,9.030997513853084,25
step6_hybrid_v2_no_moddrop,test,90,rmse,42.06192939758301,11.23118020540336,25
