model,split,horizon_min,zone,n_samples,metric,value
step6_hybrid_v2_no_moddrop,val,30,hypo,3669,mae,8.588772773742676
step6_hybrid_v2_no_moddrop,val,30,hypo,3669,rmse,11.908955574035645
step6_hybrid_v2_no_moddrop,val,30,tir,32039,mae,13.047840118408203
step6_hybrid_v2_no_moddrop,val,30,tir,32039,rmse,17.15500259399414
step6_hybrid_v2_no_moddrop,val,30,hyper,9674,mae,23.559532165527344
step6_hybrid_v2_no_moddrop,val,30,hyper,9674,rmse,29.699321746826172
step6_hybrid_v2_no_moddrop,val,60,hypo,3664,mae,13.624752044677734
step6_hybrid_v2_no_moddrop,val,60,hypo,3664,rmse,20.2537784576416
step6_hybrid_v2_no_moddrop,val,60,tir,32044,mae,18.0260009765625
step6_hybrid_v2_no_moddrop,val,60,tir,32044,rmse,24.499649047851562
step6_hybrid_v2_no_moddrop,val,60,hyper,9674,mae,33.34003448486328
step6_hybrid_v2_no_moddrop,val,60,hyper,9674,rmse,43.32065963745117
step6_hybrid_v2_no_moddrop,val,90,hypo,3663,mae,19.42037010192871
step6_hybrid_v2_no_moddrop,val,90,hypo,3663,rmse,29.204845428466797
step6_hybrid_v2_no_moddrop,val,90,tir,32048,mae,22.542757034301758
step6_hybrid_v2_no_moddrop,val,90,tir,32048,rmse,30.318309783935547
step6_hybrid_v2_no_moddrop,val,90,hyper,9671,mae,46.46735382080078
step6_hybrid_v2_no_moddrop,val,90,hyper,9671,rmse,58.65849685668945
step6_hybrid_v2_no_moddrop,test,30,hypo,3631,mae,10.241509437561035
step6_hybrid_v2_no_moddrop,test,30,hypo,3631,rmse,13.494468688964844
step6_hybrid_v2_no_moddrop,test,30,tir,32470,mae,13.115647315979004
step6_hybrid_v2_no_moddrop,test,30,tir,32470,rmse,17.254026412963867
step6_hybrid_v2_no_moddrop,test,30,hyper,9294,mae,24.504364013671875
step6_hybrid_v2_no_moddrop,test,30,hyper,9294,rmse,30.90304183959961
step6_hybrid_v2_no_moddrop,test,60,hypo,3629,mae,16.283838272094727
step6_hybrid_v2_no_moddrop,test,60,hypo,3629,rmse,23.076295852661133
step6_hybrid_v2_no_moddrop,test,60,tir,32479,mae,17.837024688720703
step6_hybrid_v2_no_moddrop,test,60,tir,32479,rmse,24.290010452270508
step6_hybrid_v2_no_moddrop,test,60,hyper,9287,mae,33.48888397216797
step6_hybrid_v2_no_moddrop,test,60,hyper,9287,rmse,42.540348052978516
step6_hybrid_v2_no_moddrop,test,90,hypo,3625,mae,23.33736228942871
step6_hybrid_v2_no_moddrop,test,90,hypo,3625,rmse,33.1207389831543
step6_hybrid_v2_no_moddrop,test,90,tir,32493,mae,21.94274139404297
step6_hybrid_v2_no_moddrop,test,90,tir,32493,rmse,29.74326515197754
step6_hybrid_v2_no_moddrop,test,90,hyper,9277,mae,45.174747467041016
step6_hybrid_v2_no_moddrop,test,90,hyper,9277,rmse,56.22208786010742
