model,split,horizon_min,zone,n_samples,metric,value
step6_v2_pers_resid_cgega_ckpt,val,30,hypo,3669,mae,7.066104412078857
step6_v2_pers_resid_cgega_ckpt,val,30,hypo,3669,rmse,10.295783996582031
step6_v2_pers_resid_cgega_ckpt,val,30,tir,32039,mae,10.165201187133789
step6_v2_pers_resid_cgega_ckpt,val,30,tir,32039,rmse,14.694700241088867
step6_v2_pers_resid_cgega_ckpt,val,30,hyper,9674,mae,13.968268394470215
step6_v2_pers_resid_cgega_ckpt,val,30,hyper,9674,rmse,20.18785285949707
step6_v2_pers_resid_cgega_ckpt,val,60,hypo,3664,mae,12.625448226928711
step6_v2_pers_resid_cgega_ckpt,val,60,hypo,3664,rmse,19.731794357299805
step6_v2_pers_resid_cgega_ckpt,val,60,tir,32044,mae,17.67361831665039
step6_v2_pers_resid_cgega_ckpt,val,60,tir,32044,rmse,24.74580192565918
step6_v2_pers_resid_cgega_ckpt,val,60,hyper,9674,mae,28.567668914794922
step6_v2_pers_resid_cgega_ckpt,val,60,hyper,9674,rmse,39.43612289428711
step6_v2_pers_resid_cgega_ckpt,val,90,hypo,3663,mae,20.18923568725586
step6_v2_pers_resid_cgega_ckpt,val,90,hypo,3663,rmse,30.485050201416016
step6_v2_pers_resid_cgega_ckpt,val,90,tir,32048,mae,22.57431411743164
step6_v2_pers_resid_cgega_ckpt,val,90,tir,32048,rmse,30.803665161132812
step6_v2_pers_resid_cgega_ckpt,val,90,hyper,9671,mae,41.222023010253906
step6_v2_pers_resid_cgega_ckpt,val,90,hyper,9671,rmse,54.24128723144531
step6_v2_pers_resid_cgega_ckpt,test,30,hypo,3631,mae,7.813797473907471
step6_v2_pers_resid_cgega_ckpt,test,30,hypo,3631,rmse,11.434569358825684
step6_v2_pers_resid_cgega_ckpt,test,30,tir,32470,mae,10.473190307617188
step6_v2_pers_resid_cgega_ckpt,test,30,tir,32470,rmse,14.778995513916016
step6_v2_pers_resid_cgega_ckpt,test,30,hyper,9294,mae,13.878867149353027
step6_v2_pers_resid_cgega_ckpt,test,30,hyper,9294,rmse,19.560331344604492
step6_v2_pers_resid_cgega_ckpt,test,60,hypo,3629,mae,15.128975868225098
step6_v2_pers_resid_cgega_ckpt,test,60,hypo,3629,rmse,23.193300247192383
step6_v2_pers_resid_cgega_ckpt,test,60,tir,32479,mae,17.5955810546875
step6_v2_pers_resid_cgega_ckpt,test,60,tir,32479,rmse,24.596084594726562
step6_v2_pers_resid_cgega_ckpt,test,60,hyper,9287,mae,28.38020133972168
step6_v2_pers_resid_cgega_ckpt,test,60,hyper,9287,rmse,38.23665237426758
step6_v2_pers_resid_cgega_ckpt,test,90,hypo,3625,mae,24.784469604492188
step6_v2_pers_resid_cgega_ckpt,test,90,hypo,3625,rmse,35.494407653808594
step6_v2_pers_resid_cgega_ckpt,test,90,tir,32493,mae,21.932640075683594
step6_v2_pers_resid_cgega_ckpt,test,90,tir,32493,rmse,30.33568572998047
step6_v2_pers_resid_cgega_ckpt,test,90,hyper,9277,mae,40.275638580322266
step6_v2_pers_resid_cgega_ckpt,test,90,hyper,9277,rmse,52.252017974853516
