model,split,horizon_min,zone,n_samples,pct,total
step6_hybrid_v2_pers_resid,val,30,A,41738,91.97038473403552,45382
step6_hybrid_v2_pers_resid,val,30,B,3243,7.146005024018333,45382
step6_hybrid_v2_pers_resid,val,30,C,6,0.013221100876999691,45382
step6_hybrid_v2_pers_resid,val,30,D,388,0.8549645233793134,45382
step6_hybrid_v2_pers_resid,val,30,E,7,0.015424617689832974,45382
step6_hybrid_v2_pers_resid,val,60,A,34231,75.42858402009607,45382
step6_hybrid_v2_pers_resid,val,60,B,9646,21.255123176589837,45382
step6_hybrid_v2_pers_resid,val,60,C,49,0.10797232382883082,45382
step6_hybrid_v2_pers_resid,val,60,D,1419,3.126790357410427,45382
step6_hybrid_v2_pers_resid,val,60,E,37,0.08153012207483143,45382
step6_hybrid_v2_pers_resid,val,90,A,28698,63.23652549468952,45382
step6_hybrid_v2_pers_resid,val,90,B,14139,31.155524216649773,45382
step6_hybrid_v2_pers_resid,val,90,C,166,0.3657837909303248,45382
step6_hybrid_v2_pers_resid,val,90,D,2299,5.065885152703715,45382
step6_hybrid_v2_pers_resid,val,90,E,80,0.17628134502666257,45382
step6_hybrid_v2_pers_resid,test,30,A,41477,91.36909351250138,45395
step6_hybrid_v2_pers_resid,test,30,B,3388,7.463377023901311,45395
step6_hybrid_v2_pers_resid,test,30,C,1,0.0022028857803722875,45395
step6_hybrid_v2_pers_resid,test,30,D,528,1.163123692036568,45395
step6_hybrid_v2_pers_resid,test,30,E,1,0.0022028857803722875,45395
step6_hybrid_v2_pers_resid,test,60,A,33888,74.65139332525608,45395
step6_hybrid_v2_pers_resid,test,60,B,9801,21.59048353342879,45395
step6_hybrid_v2_pers_resid,test,60,C,46,0.10133274589712524,45395
step6_hybrid_v2_pers_resid,test,60,D,1645,3.623747108712413,45395
step6_hybrid_v2_pers_resid,test,60,E,15,0.03304328670558432,45395
step6_hybrid_v2_pers_resid,test,90,A,28827,63.502588390791935,45395
step6_hybrid_v2_pers_resid,test,90,B,13720,30.223592906707786,45395
step6_hybrid_v2_pers_resid,test,90,C,149,0.3282299812754709,45395
step6_hybrid_v2_pers_resid,test,90,D,2631,5.795792488159489,45395
step6_hybrid_v2_pers_resid,test,90,E,68,0.14979623306531556,45395
