model,split,horizon_min,glycaemic_zone,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
step6_v2_pers_resid_clinical,test,30,hyper,90.911051212938,7.471698113207547,1.6172506738544474,8432,693,150,9275
step6_v2_pers_resid_clinical,test,30,hypo,94.4,0.13793103448275862,5.462068965517242,3422,5,198,3625
step6_v2_pers_resid_clinical,test,30,tir,87.14682294879704,11.61628624305984,1.2368908081431216,28253,3766,401,32420
step6_v2_pers_resid_clinical,test,60,hyper,83.43770244007774,11.60656445692075,4.955733103001512,7728,1075,459,9262
step6_v2_pers_resid_clinical,test,60,hypo,84.08839779005525,0.13812154696132597,15.773480662983426,3044,5,571,3620
step6_v2_pers_resid_clinical,test,60,tir,77.80689315000924,19.97657068869844,2.2165361612923116,25239,6480,719,32438
step6_v2_pers_resid_clinical,test,90,hyper,78.81310128634742,13.576910604258998,7.609988109393579,7291,1256,704,9251
step6_v2_pers_resid_clinical,test,90,hypo,72.94832826747721,0.0,27.051671732522795,2640,0,979,3619
step6_v2_pers_resid_clinical,test,90,tir,76.73343605546995,20.856702619414484,2.4098613251155623,24900,6768,782,32450
step6_v2_pers_resid_clinical,val,30,hyper,90.92700124429697,7.310244711737868,1.7627540439651597,8769,705,170,9644
step6_v2_pers_resid_clinical,val,30,hypo,96.36909636909637,0.0273000273000273,3.6036036036036037,3530,1,132,3663
step6_v2_pers_resid_clinical,val,30,tir,87.284375,11.75,0.965625,27931,3760,309,32000
step6_v2_pers_resid_clinical,val,60,hyper,81.38739112401493,13.32434674408959,5.288262131895479,7849,1285,510,9644
step6_v2_pers_resid_clinical,val,60,hypo,90.34991798797157,0.05467468562055768,9.595407326407873,3305,2,351,3658
step6_v2_pers_resid_clinical,val,60,tir,77.52851117012966,20.35619434463365,2.115294485236682,24813,6515,677,32005
step6_v2_pers_resid_clinical,val,90,hyper,76.28577353795106,14.496059726254666,9.218166735794275,7357,1398,889,9644
step6_v2_pers_resid_clinical,val,90,hypo,84.19469510527755,0.027344818156959255,15.77796007656549,3079,1,577,3657
step6_v2_pers_resid_clinical,val,90,tir,75.71392863838031,22.133349996875587,2.1527213647441106,24233,7084,689,32006
