model,split,horizon_min,zone,n_samples,pct,total
step6_v2_pers_resid_clinical,val,30,A,38490,84.81336212595302,45382
step6_v2_pers_resid_clinical,val,30,B,6741,14.853906835309154,45382
step6_v2_pers_resid_clinical,val,30,C,6,0.013221100876999691,45382
step6_v2_pers_resid_clinical,val,30,D,135,0.29747476973249304,45382
step6_v2_pers_resid_clinical,val,30,E,10,0.02203516812833282,45382
step6_v2_pers_resid_clinical,val,60,A,27505,60.60772993697942,45382
step6_v2_pers_resid_clinical,val,60,B,17144,37.777092239213786,45382
step6_v2_pers_resid_clinical,val,60,C,62,0.13661804239566347,45382
step6_v2_pers_resid_clinical,val,60,D,552,1.2163412806839715,45382
step6_v2_pers_resid_clinical,val,60,E,119,0.2622185007271606,45382
step6_v2_pers_resid_clinical,val,90,A,22147,48.801286853818695,45382
step6_v2_pers_resid_clinical,val,90,B,21565,47.518840068749725,45382
step6_v2_pers_resid_clinical,val,90,C,196,0.4318892953153233,45382
step6_v2_pers_resid_clinical,val,90,D,1056,2.3269137543519456,45382
step6_v2_pers_resid_clinical,val,90,E,418,0.9210700277643118,45382
step6_v2_pers_resid_clinical,test,30,A,38607,85.04681132283291,45395
step6_v2_pers_resid_clinical,test,30,B,6611,14.563277894041194,45395
step6_v2_pers_resid_clinical,test,30,C,3,0.0066086573411168635,45395
step6_v2_pers_resid_clinical,test,30,D,172,0.3788963542240335,45395
step6_v2_pers_resid_clinical,test,30,E,2,0.004405771560744575,45395
step6_v2_pers_resid_clinical,test,60,A,28125,61.95616257297059,45395
step6_v2_pers_resid_clinical,test,60,B,16392,36.10970371186254,45395
step6_v2_pers_resid_clinical,test,60,C,78,0.17182509086903844,45395
step6_v2_pers_resid_clinical,test,60,D,723,1.592686419209164,45395
step6_v2_pers_resid_clinical,test,60,E,77,0.16962220508866616,45395
step6_v2_pers_resid_clinical,test,90,A,22716,50.040753386936885,45395
step6_v2_pers_resid_clinical,test,90,B,20768,45.74953188677167,45395
step6_v2_pers_resid_clinical,test,90,C,181,0.3987223262473841,45395
step6_v2_pers_resid_clinical,test,90,D,1491,3.284502698535081,45395
step6_v2_pers_resid_clinical,test,90,E,239,0.5264897015089768,45395
