model,split,horizon_min,zone,n_samples,metric,value
step6_v2_pers_resid_clinical,val,30,hypo,3669,mae,6.401607036590576
step6_v2_pers_resid_clinical,val,30,hypo,3669,rmse,8.918746948242188
step6_v2_pers_resid_clinical,val,30,tir,32039,mae,14.46976375579834
step6_v2_pers_resid_clinical,val,30,tir,32039,rmse,19.448955535888672
step6_v2_pers_resid_clinical,val,30,hyper,9674,mae,17.5129337310791
step6_v2_pers_resid_clinical,val,30,hyper,9674,rmse,24.44976806640625
step6_v2_pers_resid_clinical,val,60,hypo,3664,mae,9.18021011352539
step6_v2_pers_resid_clinical,val,60,hypo,3664,rmse,14.348342895507812
step6_v2_pers_resid_clinical,val,60,tir,32044,mae,25.685102462768555
step6_v2_pers_resid_clinical,val,60,tir,32044,rmse,33.02006912231445
step6_v2_pers_resid_clinical,val,60,hyper,9674,mae,38.77419662475586
step6_v2_pers_resid_clinical,val,60,hyper,9674,rmse,51.609764099121094
step6_v2_pers_resid_clinical,val,90,hypo,3663,mae,12.176468849182129
step6_v2_pers_resid_clinical,val,90,hypo,3663,rmse,22.47345733642578
step6_v2_pers_resid_clinical,val,90,tir,32048,mae,31.685226440429688
step6_v2_pers_resid_clinical,val,90,tir,32048,rmse,40.22892379760742
step6_v2_pers_resid_clinical,val,90,hyper,9671,mae,57.09408187866211
step6_v2_pers_resid_clinical,val,90,hyper,9671,rmse,72.31949615478516
step6_v2_pers_resid_clinical,test,30,hypo,3631,mae,6.653201580047607
step6_v2_pers_resid_clinical,test,30,hypo,3631,rmse,9.268052101135254
step6_v2_pers_resid_clinical,test,30,tir,32470,mae,13.977290153503418
step6_v2_pers_resid_clinical,test,30,tir,32470,rmse,19.007713317871094
step6_v2_pers_resid_clinical,test,30,hyper,9294,mae,16.942657470703125
step6_v2_pers_resid_clinical,test,30,hyper,9294,rmse,23.400163650512695
step6_v2_pers_resid_clinical,test,60,hypo,3629,mae,10.442648887634277
step6_v2_pers_resid_clinical,test,60,hypo,3629,rmse,16.92597770690918
step6_v2_pers_resid_clinical,test,60,tir,32479,mae,24.58053970336914
step6_v2_pers_resid_clinical,test,60,tir,32479,rmse,32.20797348022461
step6_v2_pers_resid_clinical,test,60,hyper,9287,mae,36.93571472167969
step6_v2_pers_resid_clinical,test,60,hyper,9287,rmse,48.85028839111328
step6_v2_pers_resid_clinical,test,90,hypo,3625,mae,15.0475492477417
step6_v2_pers_resid_clinical,test,90,hypo,3625,rmse,25.275203704833984
step6_v2_pers_resid_clinical,test,90,tir,32493,mae,30.355426788330078
step6_v2_pers_resid_clinical,test,90,tir,32493,rmse,39.1443977355957
step6_v2_pers_resid_clinical,test,90,hyper,9277,mae,53.22456741333008
step6_v2_pers_resid_clinical,test,90,hyper,9277,rmse,67.5654525756836
