model,split,horizon_min,glycaemic_zone,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
step6_v2_pers_resid_gate_t125,test,30,hyper,89.8544474393531,8.194070080862534,1.9514824797843666,8334,760,181,9275
step6_v2_pers_resid_gate_t125,test,30,hypo,94.37241379310345,0.16551724137931034,5.462068965517242,3421,6,198,3625
step6_v2_pers_resid_gate_t125,test,30,tir,86.09808760024676,12.609500308451572,1.2924120913016657,27913,4088,419,32420
step6_v2_pers_resid_gate_t125,test,60,hyper,79.66961779313323,15.385445908011228,4.944936298855539,7379,1425,458,9262
step6_v2_pers_resid_gate_t125,test,60,hypo,84.08839779005525,0.13812154696132597,15.773480662983426,3044,5,571,3620
step6_v2_pers_resid_gate_t125,test,60,tir,75.68284111227572,21.841667180467354,2.475491707256921,24550,7085,803,32438
step6_v2_pers_resid_gate_t125,test,90,hyper,75.81883039671386,16.409036860879905,7.772132742406226,7014,1518,719,9251
step6_v2_pers_resid_gate_t125,test,90,hypo,72.94832826747721,0.0,27.051671732522795,2640,0,979,3619
step6_v2_pers_resid_gate_t125,test,90,tir,74.55469953775038,22.93682588597843,2.5084745762711864,24193,7443,814,32450
step6_v2_pers_resid_gate_t125,val,30,hyper,89.57901285773538,8.388635420987143,2.0323517212774784,8639,809,196,9644
step6_v2_pers_resid_gate_t125,val,30,hypo,96.34179634179634,0.0546000546000546,3.6036036036036037,3529,2,132,3663
step6_v2_pers_resid_gate_t125,val,30,tir,86.003125,13.0375,0.959375,27521,4172,307,32000
step6_v2_pers_resid_gate_t125,val,60,hyper,78.68104520945666,15.709249274160099,5.609705516383244,7588,1515,541,9644
step6_v2_pers_resid_gate_t125,val,60,hypo,90.3225806451613,0.08201202843083652,9.595407326407873,3304,3,351,3658
step6_v2_pers_resid_gate_t125,val,60,tir,75.43821277925325,22.37775347601937,2.1840337447273863,24144,7162,699,32005
step6_v2_pers_resid_gate_t125,val,90,hyper,74.67855661551224,16.30029033596018,9.021153048527582,7202,1572,870,9644
step6_v2_pers_resid_gate_t125,val,90,hypo,84.19469510527755,0.027344818156959255,15.77796007656549,3079,1,577,3657
step6_v2_pers_resid_gate_t125,val,90,tir,73.59557582953197,24.076735612072735,2.327688558395301,23555,7706,745,32006
