model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
step6_hybrid_v2_pers_resid,val,30,mae,11.7251007270813,3.6672996020604325,25
step6_hybrid_v2_pers_resid,val,30,rmse,16.860912246704103,4.888694093794922,25
step6_hybrid_v2_pers_resid,val,60,mae,22.40740821838379,6.951137899839595,25
step6_hybrid_v2_pers_resid,val,60,rmse,30.562242584228514,8.73889913488121,25
step6_hybrid_v2_pers_resid,val,90,mae,30.449045181274414,9.255615678962506,25
step6_hybrid_v2_pers_resid,val,90,rmse,40.62437355041504,11.753393170697617,25
step6_hybrid_v2_pers_resid,test,30,mae,12.01451018333435,3.4077223444858618,25
step6_hybrid_v2_pers_resid,test,30,rmse,16.983509197235108,4.587713269966584,25
step6_hybrid_v2_pers_resid,test,60,mae,23.01338451385498,6.455921081918935,25
step6_hybrid_v2_pers_resid,test,60,rmse,31.384058151245117,8.49959029159585,25
step6_hybrid_v2_pers_resid,test,90,mae,31.619337005615236,8.771441866636488,25
step6_hybrid_v2_pers_resid,test,90,rmse,42.095874366760256,11.437662985426522,25
