model,split,horizon_min,zone,n_samples,metric,value
step6_hybrid_v2_pers_resid,val,30,hypo,3669,mae,6.179589748382568
step6_hybrid_v2_pers_resid,val,30,hypo,3669,rmse,10.368054389953613
step6_hybrid_v2_pers_resid,val,30,tir,32039,mae,9.88983154296875
step6_hybrid_v2_pers_resid,val,30,tir,32039,rmse,14.568394660949707
step6_hybrid_v2_pers_resid,val,30,hyper,9674,mae,13.570472717285156
step6_hybrid_v2_pers_resid,val,30,hyper,9674,rmse,19.670974731445312
step6_hybrid_v2_pers_resid,val,60,hypo,3664,mae,14.4306640625
step6_hybrid_v2_pers_resid,val,60,hypo,3664,rmse,22.044599533081055
step6_hybrid_v2_pers_resid,val,60,tir,32044,mae,17.499719619750977
step6_hybrid_v2_pers_resid,val,60,tir,32044,rmse,24.573606491088867
step6_hybrid_v2_pers_resid,val,60,hyper,9674,mae,27.731496810913086
step6_hybrid_v2_pers_resid,val,60,hyper,9674,rmse,38.24030303955078
step6_hybrid_v2_pers_resid,val,90,hypo,3663,mae,23.49288558959961
step6_hybrid_v2_pers_resid,val,90,hypo,3663,rmse,33.7520751953125
step6_hybrid_v2_pers_resid,val,90,tir,32048,mae,22.40070343017578
step6_hybrid_v2_pers_resid,val,90,tir,32048,rmse,30.716798782348633
step6_hybrid_v2_pers_resid,val,90,hyper,9671,mae,39.97285842895508
step6_hybrid_v2_pers_resid,val,90,hyper,9671,rmse,52.74784851074219
step6_hybrid_v2_pers_resid,test,30,hypo,3631,mae,7.4860005378723145
step6_hybrid_v2_pers_resid,test,30,hypo,3631,rmse,11.773877143859863
step6_hybrid_v2_pers_resid,test,30,tir,32470,mae,10.096840858459473
step6_hybrid_v2_pers_resid,test,30,tir,32470,rmse,14.62203311920166
step6_hybrid_v2_pers_resid,test,30,hyper,9294,mae,13.39305591583252
step6_hybrid_v2_pers_resid,test,30,hyper,9294,rmse,19.022350311279297
step6_hybrid_v2_pers_resid,test,60,hypo,3629,mae,17.433156967163086
step6_hybrid_v2_pers_resid,test,60,hypo,3629,rmse,25.73258399963379
step6_hybrid_v2_pers_resid,test,60,tir,32479,mae,17.605892181396484
step6_hybrid_v2_pers_resid,test,60,tir,32479,rmse,24.615446090698242
step6_hybrid_v2_pers_resid,test,60,hyper,9287,mae,27.00777244567871
step6_hybrid_v2_pers_resid,test,60,hyper,9287,rmse,36.668582916259766
step6_hybrid_v2_pers_resid,test,90,hypo,3625,mae,28.747547149658203
step6_hybrid_v2_pers_resid,test,90,hypo,3625,rmse,39.02559280395508
step6_hybrid_v2_pers_resid,test,90,tir,32493,mae,22.276166915893555
step6_hybrid_v2_pers_resid,test,90,tir,32493,rmse,30.685396194458008
step6_hybrid_v2_pers_resid,test,90,hyper,9277,mae,38.4508056640625
step6_hybrid_v2_pers_resid,test,90,hyper,9277,rmse,50.121917724609375
