model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
step6_hybrid_v2_smaller,val,30,mae,16.131189041137695,4.577520027250609,25
step6_hybrid_v2_smaller,val,30,rmse,21.174281005859374,5.873583293052371,25
step6_hybrid_v2_smaller,val,60,mae,23.628573760986328,7.036755887132138,25
step6_hybrid_v2_smaller,val,60,rmse,31.4883150100708,9.195245452991626,25
step6_hybrid_v2_smaller,val,90,mae,30.97779838562012,9.536031051095062,25
step6_hybrid_v2_smaller,val,90,rmse,41.0065385055542,12.388670289157988,25
step6_hybrid_v2_smaller,test,30,mae,16.47480556488037,4.664811228551024,25
step6_hybrid_v2_smaller,test,30,rmse,21.727145767211915,5.632222341346825,25
step6_hybrid_v2_smaller,test,60,mae,23.889924583435057,6.482480047573137,25
step6_hybrid_v2_smaller,test,60,rmse,32.01317810058594,8.151601107693045,25
step6_hybrid_v2_smaller,test,90,mae,31.432311477661134,8.650043703474777,25
step6_hybrid_v2_smaller,test,90,rmse,41.618888244628906,10.857505577609059,25
