model,split,horizon_min,zone,n_samples,metric,value
step6_hybrid_v2_smaller,val,30,hypo,3669,mae,9.963269233703613
step6_hybrid_v2_smaller,val,30,hypo,3669,rmse,13.231760025024414
step6_hybrid_v2_smaller,val,30,tir,32039,mae,12.71017837524414
step6_hybrid_v2_smaller,val,30,tir,32039,rmse,16.859281539916992
step6_hybrid_v2_smaller,val,30,hyper,9674,mae,21.043928146362305
step6_hybrid_v2_smaller,val,30,hyper,9674,rmse,28.27753257751465
step6_hybrid_v2_smaller,val,60,hypo,3664,mae,14.48836612701416
step6_hybrid_v2_smaller,val,60,hypo,3664,rmse,20.945724487304688
step6_hybrid_v2_smaller,val,60,tir,32044,mae,18.198001861572266
step6_hybrid_v2_smaller,val,60,tir,32044,rmse,24.614580154418945
step6_hybrid_v2_smaller,val,60,hyper,9674,mae,30.957759857177734
step6_hybrid_v2_smaller,val,60,hyper,9674,rmse,41.49781799316406
step6_hybrid_v2_smaller,val,90,hypo,3663,mae,20.158275604248047
step6_hybrid_v2_smaller,val,90,hypo,3663,rmse,30.260631561279297
step6_hybrid_v2_smaller,val,90,tir,32048,mae,23.080976486206055
step6_hybrid_v2_smaller,val,90,tir,32048,rmse,31.068790435791016
step6_hybrid_v2_smaller,val,90,hyper,9671,mae,42.500244140625
step6_hybrid_v2_smaller,val,90,hyper,9671,rmse,55.403812408447266
step6_hybrid_v2_smaller,test,30,hypo,3631,mae,10.49416732788086
step6_hybrid_v2_smaller,test,30,hypo,3631,rmse,14.54967212677002
step6_hybrid_v2_smaller,test,30,tir,32470,mae,12.66852855682373
step6_hybrid_v2_smaller,test,30,tir,32470,rmse,16.898113250732422
step6_hybrid_v2_smaller,test,30,hyper,9294,mae,20.362489700317383
step6_hybrid_v2_smaller,test,30,hyper,9294,rmse,27.273160934448242
step6_hybrid_v2_smaller,test,60,hypo,3629,mae,16.443674087524414
step6_hybrid_v2_smaller,test,60,hypo,3629,rmse,23.841768264770508
step6_hybrid_v2_smaller,test,60,tir,32479,mae,18.010284423828125
step6_hybrid_v2_smaller,test,60,tir,32479,rmse,24.746137619018555
step6_hybrid_v2_smaller,test,60,hyper,9287,mae,29.855756759643555
step6_hybrid_v2_smaller,test,60,hyper,9287,rmse,39.413028717041016
step6_hybrid_v2_smaller,test,90,hypo,3625,mae,24.34261703491211
step6_hybrid_v2_smaller,test,90,hypo,3625,rmse,35.29023742675781
step6_hybrid_v2_smaller,test,90,tir,32493,mae,22.560867309570312
step6_hybrid_v2_smaller,test,90,tir,32493,rmse,30.89207649230957
step6_hybrid_v2_smaller,test,90,hyper,9277,mae,40.355186462402344
step6_hybrid_v2_smaller,test,90,hyper,9277,rmse,52.13128662109375
