model,split,horizon_min,zone,n_samples,pct,total
step6_hybrid_v3_seq2seq,val,30,A,41244,90.88184742849587,45382
step6_hybrid_v3_seq2seq,val,30,B,3678,8.104534837600811,45382
step6_hybrid_v3_seq2seq,val,30,C,9,0.01983165131549954,45382
step6_hybrid_v3_seq2seq,val,30,D,446,0.9827684985236438,45382
step6_hybrid_v3_seq2seq,val,30,E,5,0.01101758406416641,45382
step6_hybrid_v3_seq2seq,val,60,A,33847,74.5824335639681,45382
step6_hybrid_v3_seq2seq,val,60,B,10038,22.118901767220486,45382
step6_hybrid_v3_seq2seq,val,60,C,46,0.10136177339033096,45382
step6_hybrid_v3_seq2seq,val,60,D,1416,3.1201798069719273,45382
step6_hybrid_v3_seq2seq,val,60,E,35,0.07712308844916486,45382
step6_hybrid_v3_seq2seq,val,90,A,28443,62.674628707417035,45382
step6_hybrid_v3_seq2seq,val,90,B,14498,31.94658675245692,45382
step6_hybrid_v3_seq2seq,val,90,C,152,0.3349345555506589,45382
step6_hybrid_v3_seq2seq,val,90,D,2219,4.8896038076770525,45382
step6_hybrid_v3_seq2seq,val,90,E,70,0.15424617689832973,45382
step6_hybrid_v3_seq2seq,test,30,A,40941,90.18834673422182,45395
step6_hybrid_v3_seq2seq,test,30,B,3780,8.326908249807248,45395
step6_hybrid_v3_seq2seq,test,30,C,1,0.0022028857803722875,45395
step6_hybrid_v3_seq2seq,test,30,D,673,1.4825421301905497,45395
step6_hybrid_v3_seq2seq,test,30,E,0,0.0,45395
step6_hybrid_v3_seq2seq,test,60,A,33770,74.39145280317216,45395
step6_hybrid_v3_seq2seq,test,60,B,9852,21.70283070822778,45395
step6_hybrid_v3_seq2seq,test,60,C,34,0.07489811653265778,45395
step6_hybrid_v3_seq2seq,test,60,D,1728,3.806586628483313,45395
step6_hybrid_v3_seq2seq,test,60,E,11,0.024231743584095165,45395
step6_hybrid_v3_seq2seq,test,90,A,28903,63.67000771010023,45395
step6_hybrid_v3_seq2seq,test,90,B,13699,30.17733230531997,45395
step6_hybrid_v3_seq2seq,test,90,C,130,0.2863751514483974,45395
step6_hybrid_v3_seq2seq,test,90,D,2609,5.747329000991298,45395
step6_hybrid_v3_seq2seq,test,90,E,54,0.11895583214010354,45395
