model,split,horizon_min,zone,n_samples,metric,value
step6_hybrid_v3_seq2seq,val,30,hypo,3669,mae,7.271278381347656
step6_hybrid_v3_seq2seq,val,30,hypo,3669,rmse,11.076065063476562
step6_hybrid_v3_seq2seq,val,30,tir,32039,mae,10.664978981018066
step6_hybrid_v3_seq2seq,val,30,tir,32039,rmse,15.25944995880127
step6_hybrid_v3_seq2seq,val,30,hyper,9674,mae,15.703330039978027
step6_hybrid_v3_seq2seq,val,30,hyper,9674,rmse,21.979028701782227
step6_hybrid_v3_seq2seq,val,60,hypo,3664,mae,14.92686653137207
step6_hybrid_v3_seq2seq,val,60,hypo,3664,rmse,22.388484954833984
step6_hybrid_v3_seq2seq,val,60,tir,32044,mae,17.90164566040039
step6_hybrid_v3_seq2seq,val,60,tir,32044,rmse,24.75987434387207
step6_hybrid_v3_seq2seq,val,60,hyper,9674,mae,28.461345672607422
step6_hybrid_v3_seq2seq,val,60,hyper,9674,rmse,38.88261413574219
step6_hybrid_v3_seq2seq,val,90,hypo,3663,mae,22.50423240661621
step6_hybrid_v3_seq2seq,val,90,hypo,3663,rmse,32.279144287109375
step6_hybrid_v3_seq2seq,val,90,tir,32048,mae,22.760303497314453
step6_hybrid_v3_seq2seq,val,90,tir,32048,rmse,30.824785232543945
step6_hybrid_v3_seq2seq,val,90,hyper,9671,mae,40.596256256103516
step6_hybrid_v3_seq2seq,val,90,hyper,9671,rmse,53.24016189575195
step6_hybrid_v3_seq2seq,test,30,hypo,3631,mae,8.715010643005371
step6_hybrid_v3_seq2seq,test,30,hypo,3631,rmse,12.727288246154785
step6_hybrid_v3_seq2seq,test,30,tir,32470,mae,10.589972496032715
step6_hybrid_v3_seq2seq,test,30,tir,32470,rmse,15.043498992919922
step6_hybrid_v3_seq2seq,test,30,hyper,9294,mae,15.791484832763672
step6_hybrid_v3_seq2seq,test,30,hyper,9294,rmse,21.63408660888672
step6_hybrid_v3_seq2seq,test,60,hypo,3629,mae,17.763574600219727
step6_hybrid_v3_seq2seq,test,60,hypo,3629,rmse,25.556224822998047
step6_hybrid_v3_seq2seq,test,60,tir,32479,mae,17.60405158996582
step6_hybrid_v3_seq2seq,test,60,tir,32479,rmse,24.560548782348633
step6_hybrid_v3_seq2seq,test,60,hyper,9287,mae,27.973066329956055
step6_hybrid_v3_seq2seq,test,60,hyper,9287,rmse,37.50252914428711
step6_hybrid_v3_seq2seq,test,90,hypo,3625,mae,27.627086639404297
step6_hybrid_v3_seq2seq,test,90,hypo,3625,rmse,37.54237747192383
step6_hybrid_v3_seq2seq,test,90,tir,32493,mae,22.25953483581543
step6_hybrid_v3_seq2seq,test,90,tir,32493,rmse,30.48086929321289
step6_hybrid_v3_seq2seq,test,90,hyper,9277,mae,39.525142669677734
step6_hybrid_v3_seq2seq,test,90,hyper,9277,rmse,51.433597564697266
