model,split,horizon_min,glycaemic_zone,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
step7_stacked_context,test,30,hyper,90.78167115902966,7.331536388140162,1.8867924528301887,8420,680,175,9275
step7_stacked_context,test,30,hypo,84.38620689655173,0.027586206896551724,15.586206896551724,3059,1,565,3625
step7_stacked_context,test,30,tir,89.5311536088834,9.278223318938927,1.190623072177668,29026,3008,386,32420
step7_stacked_context,test,60,hyper,83.729216152019,12.286763118117037,3.98402072986396,7755,1138,369,9262
step7_stacked_context,test,60,hypo,53.370165745856355,0.0,46.629834254143645,1932,0,1688,3620
step7_stacked_context,test,60,tir,80.56292003206116,17.010913126579936,2.4261668413589,26133,5518,787,32438
step7_stacked_context,test,90,hyper,82.05599394660037,13.295859907037077,4.6481461463625555,7591,1230,430,9251
step7_stacked_context,test,90,hypo,33.517546283503734,0.0,66.48245371649627,1213,0,2406,3619
step7_stacked_context,test,90,tir,77.75346687211093,19.52542372881356,2.721109399075501,25231,6336,883,32450
step7_stacked_context,val,30,hyper,90.79220240564081,7.40356698465367,1.8042306097055163,8756,714,174,9644
step7_stacked_context,val,30,hypo,89.05268905268905,0.0273000273000273,10.92001092001092,3262,1,400,3663
step7_stacked_context,val,30,tir,89.984375,9.1,0.915625,28795,2912,293,32000
step7_stacked_context,val,60,hyper,82.9531314807134,12.961426793861468,4.0854417254251345,8000,1250,394,9644
step7_stacked_context,val,60,hypo,63.91470749043193,0.0,36.08529250956807,2338,0,1320,3658
step7_stacked_context,val,60,tir,81.2591782533979,16.578659584439933,2.1621621621621623,26007,5306,692,32005
step7_stacked_context,val,90,hyper,80.81708834508503,14.81750311074243,4.365408544172542,7794,1429,421,9644
step7_stacked_context,val,90,hypo,45.14629477713973,0.0,54.85370522286027,1651,0,2006,3657
step7_stacked_context,val,90,tir,78.56339436355684,19.08704617884147,2.3495594576017,25145,6109,752,32006
