model,split,horizon_min,zone,n_samples,metric,value
step7_stacked_context,val,30,hypo,3669,mae,6.166457170230162
step7_stacked_context,val,30,hypo,3669,rmse,10.097264039529165
step7_stacked_context,val,30,tir,32039,mae,9.522078166521013
step7_stacked_context,val,30,tir,32039,rmse,14.092137822700117
step7_stacked_context,val,30,hyper,9674,mae,12.608873264390821
step7_stacked_context,val,30,hyper,9674,rmse,18.343199365459892
step7_stacked_context,val,60,hypo,3664,mae,15.39118068499336
step7_stacked_context,val,60,hypo,3664,rmse,23.08762142014588
step7_stacked_context,val,60,tir,32044,mae,17.456400146408185
step7_stacked_context,val,60,tir,32044,rmse,24.22239979128071
step7_stacked_context,val,60,hyper,9674,mae,25.711588810859002
step7_stacked_context,val,60,hyper,9674,rmse,35.55209811293963
step7_stacked_context,val,90,hypo,3663,mae,25.441333595794504
step7_stacked_context,val,90,hypo,3663,rmse,35.17688767823046
step7_stacked_context,val,90,tir,32048,mae,22.51140024194227
step7_stacked_context,val,90,tir,32048,rmse,30.42455636064029
step7_stacked_context,val,90,hyper,9671,mae,36.09084679567386
step7_stacked_context,val,90,hyper,9671,rmse,47.900136291239804
step7_stacked_context,test,30,hypo,3631,mae,7.4650734145265085
step7_stacked_context,test,30,hypo,3631,rmse,11.424998554444038
step7_stacked_context,test,30,tir,32470,mae,9.52694493908496
step7_stacked_context,test,30,tir,32470,rmse,14.096151401669939
step7_stacked_context,test,30,hyper,9294,mae,12.604894754218112
step7_stacked_context,test,30,hyper,9294,rmse,17.991675429238704
step7_stacked_context,test,60,hypo,3629,mae,18.774301429595063
step7_stacked_context,test,60,hypo,3629,rmse,26.614920862749457
step7_stacked_context,test,60,tir,32479,mae,17.28337159464081
step7_stacked_context,test,60,tir,32479,rmse,24.219181364975952
step7_stacked_context,test,60,hyper,9287,mae,25.32766281083568
step7_stacked_context,test,60,hyper,9287,rmse,34.624914001058876
step7_stacked_context,test,90,hypo,3625,mae,31.844836158489358
step7_stacked_context,test,90,hypo,3625,rmse,40.9548290048026
step7_stacked_context,test,90,tir,32493,mae,22.163728035237764
step7_stacked_context,test,90,tir,32493,rmse,30.322859259951
step7_stacked_context,test,90,hyper,9277,mae,35.20519673301316
step7_stacked_context,test,90,hyper,9277,rmse,46.2312108808787
