model,method,alpha,horizon_min,zone,n,coverage_pct,mean_width,median_width,q
step6_v2_pers_resid,split,0.1,30,all,45395,89.62,48.74,48.74,24.368
step6_v2_pers_resid,split,0.1,30,hypo,3631,94.63,48.74,48.74,24.368
step6_v2_pers_resid,split,0.1,30,tir,32470,90.7,48.74,48.74,24.368
step6_v2_pers_resid,split,0.1,30,hyper,9294,83.91,48.74,48.74,24.368
step6_v2_pers_resid,split,0.1,60,all,45395,89.88,90.15,90.15,45.076
step6_v2_pers_resid,split,0.1,60,hypo,3629,91.9,90.15,90.15,45.076
step6_v2_pers_resid,split,0.1,60,tir,32479,92.4,90.15,90.15,45.076
step6_v2_pers_resid,split,0.1,60,hyper,9287,80.28,90.15,90.15,45.076
step6_v2_pers_resid,split,0.1,90,all,45395,89.87,119.18,119.18,59.591
step6_v2_pers_resid,split,0.1,90,hypo,3625,87.78,119.18,119.18,59.591
step6_v2_pers_resid,split,0.1,90,tir,32493,93.67,119.18,119.18,59.591
step6_v2_pers_resid,split,0.1,90,hyper,9277,77.37,119.18,119.18,59.591
step6_v2_pers_resid,mondrian,0.1,30,all,45395,89.5,48.21,45.94,
step6_v2_pers_resid,mondrian,0.1,30,hypo,3631,86.45,30.0,30.0,14.999
step6_v2_pers_resid,mondrian,0.1,30,tir,32470,89.5,45.94,45.94,22.97
step6_v2_pers_resid,mondrian,0.1,30,hyper,9294,90.7,63.24,63.24,31.621
step6_v2_pers_resid,mondrian,0.1,60,all,45395,89.72,88.63,79.8,
step6_v2_pers_resid,mondrian,0.1,60,hypo,3629,86.8,68.82,68.82,34.408
step6_v2_pers_resid,mondrian,0.1,60,tir,32479,89.85,79.8,79.8,39.901
step6_v2_pers_resid,mondrian,0.1,60,hyper,9287,90.41,127.23,127.23,63.617
step6_v2_pers_resid,mondrian,0.1,90,all,45395,89.58,116.31,99.6,
step6_v2_pers_resid,mondrian,0.1,90,hypo,3625,85.24,108.6,108.6,54.3
step6_v2_pers_resid,mondrian,0.1,90,tir,32493,89.73,99.6,99.6,49.798
step6_v2_pers_resid,mondrian,0.1,90,hyper,9277,90.77,177.88,177.88,88.941
step6_v2_pers_resid,split,0.2,30,all,45395,79.28,32.44,32.44,16.222
step6_v2_pers_resid,split,0.2,30,hypo,3631,88.05,32.44,32.44,16.222
step6_v2_pers_resid,split,0.2,30,tir,32470,80.79,32.44,32.44,16.222
step6_v2_pers_resid,split,0.2,30,hyper,9294,70.55,32.44,32.44,16.222
step6_v2_pers_resid,split,0.2,60,all,45395,80.06,62.13,62.13,31.067
step6_v2_pers_resid,split,0.2,60,hypo,3629,84.49,62.13,62.13,31.067
step6_v2_pers_resid,split,0.2,60,tir,32479,83.13,62.13,62.13,31.067
step6_v2_pers_resid,split,0.2,60,hyper,9287,67.6,62.13,62.13,31.067
step6_v2_pers_resid,split,0.2,90,all,45395,80.25,84.26,84.26,42.132
step6_v2_pers_resid,split,0.2,90,hypo,3625,77.85,84.26,84.26,42.132
step6_v2_pers_resid,split,0.2,90,tir,32493,85.31,84.26,84.26,42.132
step6_v2_pers_resid,split,0.2,90,hyper,9277,63.46,84.26,84.26,42.132
step6_v2_pers_resid,mondrian,0.2,30,all,45395,78.96,32.28,30.85,
step6_v2_pers_resid,mondrian,0.2,30,hypo,3631,72.6,17.93,17.93,8.963
step6_v2_pers_resid,mondrian,0.2,30,tir,32470,79.35,30.85,30.85,15.427
step6_v2_pers_resid,mondrian,0.2,30,hyper,9294,80.06,42.89,42.89,21.447
step6_v2_pers_resid,mondrian,0.2,60,all,45395,79.59,62.37,55.99,
step6_v2_pers_resid,mondrian,0.2,60,hypo,3629,74.76,45.81,45.81,22.907
step6_v2_pers_resid,mondrian,0.2,60,tir,32479,79.83,55.99,55.99,27.997
step6_v2_pers_resid,mondrian,0.2,60,hyper,9287,80.65,91.12,91.12,45.56
step6_v2_pers_resid,mondrian,0.2,90,all,45395,79.96,84.8,72.25,
step6_v2_pers_resid,mondrian,0.2,90,hypo,3625,74.12,76.68,76.68,38.339
step6_v2_pers_resid,mondrian,0.2,90,tir,32493,80.29,72.25,72.25,36.126
step6_v2_pers_resid,mondrian,0.2,90,hyper,9277,81.09,131.91,131.91,65.953
