timestep,glucose,heart_rate,basal_rate,glucose_30m_mean,glucose_60m_mean,glucose_120m_mean,glucose_60m_std,glucose_velocity,bolus_60m_sum,steps_150m_sum,heart_rate_30m_mean,insulin_on_board,carbs_on_board,hour_sin,hour_cos,glucose_low_cap,basal_coverage_24h
0,0.15848255,0.11551668,0.050742462,0.14538401,0.09667408,0.12756898,0.108124755,0.28586662,0.083207,0.10775659,0.14349678,0.091058224,0.057022166,0.1364646,0.09290045,0.008336477,0.082593344
1,0.19415088,0.14536028,0.092790134,0.2417316,0.104834,0.17193125,0.15929024,0.54648364,0.10112473,0.14837903,0.16593066,0.09310079,0.07939441,0.18506274,0.11326988,0.004705194,0.15747972
2,0.24690163,0.15985328,0.14457744,0.25848073,0.07875593,0.21525617,0.22301552,0.561402,0.109013416,0.1651493,0.16382195,0.08145331,0.09915785,0.18894267,0.14351511,0.0069262725,0.19606878
3,0.25840494,0.15494347,0.15277043,0.28547615,0.07391803,0.19947037,0.25301772,0.52283037,0.11252434,0.16343117,0.17034757,0.092868894,0.13280365,0.19003552,0.18219548,0.0037363896,0.195103
4,0.23654164,0.13686155,0.13208303,0.26355314,0.07717957,0.17845719,0.21396248,0.5490569,0.1057659,0.14915618,0.1678207,0.09267721,0.12664291,0.17401591,0.16707425,0.0014697012,0.16729288
5,0.2449721,0.13174842,0.10911718,0.2604054,0.079523206,0.16913939,0.19568299,0.494764,0.095775455,0.13794523,0.16355978,0.08982437,0.119226836,0.16164964,0.16261183,0.0013873405,0.15134569
6,0.26609212,0.12822375,0.097671956,0.26277128,0.08633358,0.1702336,0.18493551,0.5219284,0.103950575,0.1351509,0.16358694,0.091019884,0.1184376,0.15422265,0.15921825,0.0011167772,0.14503247
7,0.27883294,0.12775917,0.092624694,0.2734548,0.09149488,0.17323837,0.18123966,0.4314909,0.11503542,0.12912436,0.16697314,0.10011626,0.12616839,0.14894335,0.15472864,0.00072694937,0.14274722
8,0.28982845,0.12610771,0.09434512,0.2811039,0.0940621,0.17403902,0.1817751,0.4944157,0.12262454,0.12578388,0.17308222,0.10659332,0.12549725,0.14515562,0.15099148,0.0011188262,0.14681475
9,0.29841867,0.12722075,0.096123025,0.27845308,0.10478489,0.17152715,0.1791022,0.44870377,0.123178154,0.12645431,0.17430212,0.10853082,0.12960704,0.14717881,0.14802687,0.0025815244,0.1507934
10,0.3093651,0.13731949,0.09759676,0.2779218,0.11201247,0.17252645,0.16995783,0.43786824,0.124728724,0.12860952,0.17723271,0.11709384,0.122690685,0.1514055,0.15223922,0.0025017853,0.14510809
11,0.3153084,0.14697762,0.09766912,0.27975386,0.112520956,0.17577465,0.1636265,0.48479226,0.12725683,0.13011809,0.18181875,0.12138678,0.12157314,0.15518962,0.15766016,0.004164049,0.14926267
12,0.32086185,0.16106783,0.09960725,0.28564355,0.11386123,0.1890764,0.15567876,0.5303042,0.13425283,0.1295531,0.19670022,0.13555257,0.12346331,0.16655819,0.16655424,0.003270898,0.15397027
13,0.33321878,0.17899737,0.10256643,0.29839137,0.12028342,0.19446532,0.15352696,0.5706118,0.14300428,0.12684521,0.22023155,0.15411025,0.13213365,0.17780773,0.17496945,0.0031648246,0.15822631
14,0.35434178,0.18116271,0.109135196,0.3197121,0.13441624,0.19057623,0.15359424,0.6219164,0.15414542,0.13082959,0.23268506,0.16217579,0.1364416,0.18371062,0.1781089,0.003776769,0.16442622
15,0.35941613,0.19255117,0.11061397,0.35517427,0.14731744,0.19596885,0.15095866,0.71838486,0.16841991,0.13940111,0.24066982,0.15855941,0.13549836,0.19169968,0.18450905,0.0034856831,0.17715572
16,0.35176373,0.19247733,0.120580226,0.37126726,0.15433346,0.20199665,0.1481829,0.83684003,0.18149537,0.15022187,0.24909037,0.1699282,0.13898775,0.21090658,0.19703716,0.004800225,0.18953162
17,0.35205185,0.20596142,0.13836639,0.34116247,0.15138005,0.23350598,0.15066743,0.8760981,0.20033365,0.15796936,0.28252122,0.22749203,0.15624522,0.23733297,0.22694948,0.00565706,0.20357318
18,0.35952404,0.22622198,0.16813348,0.3123819,0.1680417,0.27759558,0.17644323,0.81579113,0.21210246,0.18316206,0.42287624,0.38456517,0.21732813,0.28234816,0.26897675,0.006189475,0.24826045
19,0.38573623,0.28374577,0.23378204,0.37030256,0.23604062,0.31160882,0.19999188,1.1794573,0.22239256,0.23249237,0.77553207,0.5938068,0.36261845,0.33729216,0.30157897,0.003432912,0.41398364
20,0.5084064,0.35004434,0.24687268,0.42100838,0.44679102,0.33139554,0.25139716,2.006058,0.2613066,0.268947,1.0705309,0.67167413,0.48713532,0.36321524,0.3095473,0.0043429043,0.6070896
21,0.9400343,0.35287577,0.25773594,1.1415403,0.8123986,0.36164504,0.2832406,1.6851383,0.28302792,0.21718422,0.6430875,0.30709243,0.27472627,0.3074139,0.34470272,0.0027125278,0.51297915
22,1.3038863,0.43716374,0.2464677,1.9028622,0.82582664,0.40103048,0.29092145,2.915749,0.27692705,0.33550403,0.6444645,0.6011536,0.323518,0.2882764,0.39677125,0.0057943123,0.28530455
23,56.327915,0.42801157,0.7479024,2.135224,0.66992545,0.9473994,0.33311647,8.549395,0.30306914,0.4669948,0.8400615,0.49828175,0.8556545,0.27550572,0.3880728,0.010100603,0.31383374
