lookback_step,mean_abs_importance,share_pct,horizon_min
0,0.8777696,0.73181814,30
1,1.2531337,1.0447683,30
2,1.389533,1.1584879,30
3,1.4352012,1.1965625,30
4,1.341763,1.1186608,30
5,1.2618805,1.0520608,30
6,1.2744372,1.0625297,30
7,1.2372712,1.0315435,30
8,1.2869581,1.0729687,30
9,1.2796185,1.0668495,30
10,1.2940261,1.0788615,30
11,1.3454597,1.121743,30
12,1.4163985,1.1808863,30
13,1.5029286,1.2530286,30
14,1.6082729,1.3408567,30
15,1.7413114,1.4517742,30
16,1.9218624,1.602304,30
17,2.174446,1.8128892,30
18,2.6186504,2.1832335,30
19,3.863687,3.221251,30
20,5.4102535,4.5106616,30
21,5.22355,4.355002,30
22,7.2964706,6.0832477,30
23,69.88879,58.268,30
0,1.8911967,1.1199129,60
1,2.7050169,1.6018338,60
2,3.0422919,1.8015586,60
3,3.1438777,1.861715,60
4,2.9396095,1.7407529,60
5,2.7686796,1.6395332,60
6,2.789926,1.6521147,60
7,2.7346988,1.6194108,60
8,2.8333392,1.6778228,60
9,2.814986,1.6669545,60
10,2.8361807,1.6795055,60
11,2.9248512,1.7320135,60
12,3.0659754,1.8155832,60
13,3.2425542,1.9201483,60
14,3.4111571,2.0199902,60
15,3.6297843,2.1494548,60
16,3.86944,2.291372,60
17,4.1472692,2.4558947,60
18,4.7299433,2.8009377,60
19,6.4437957,3.8158324,60
20,8.605762,5.096087,60
21,8.727532,5.168196,60
22,11.481618,6.7990866,60
23,74.0905,43.874283,60
0,2.8806508,1.3593287,90
1,4.130109,1.9489263,90
2,4.6712923,2.2043014,90
3,4.8249454,2.2768075,90
4,4.517886,2.1319115,90
5,4.261764,2.011052,90
6,4.2957516,2.02709,90
7,4.231114,1.9965887,90
8,4.377368,2.0656035,90
9,4.355017,2.0550566,90
10,4.3907647,2.0719252,90
11,4.513007,2.1296093,90
12,4.717362,2.2260408,90
13,4.9912744,2.3552952,90
14,5.2494593,2.477128,90
15,5.5508327,2.619341,90
16,5.869284,2.7696126,90
17,6.2566543,2.9524057,90
18,7.019634,3.3124425,90
19,8.947845,4.222332,90
20,11.33084,5.3468256,90
21,11.77424,5.556058,90
22,14.319122,6.7569437,90
23,74.44093,35.127377,90
